"Source","Translation"
"AUDIO","الصوت"
"Anti Aliasing","مكافحة التعرج"
"Auto Skip Cinematics","تخطي المشاهد تلقائيًا"
"Back","رجوع"
"CONTROLS","التحكم"
"Camera Lock","تثبيت الكاميرا"
"Check if you want to lock camera on center","حدد لتثبيت الكاميرا في المنتصف"
"Check to enable the fullscreen mode","حدد لتمكين وضع الشاشة الكاملة"
"Check to enable vertical synchronization","حدد لتمكين مزامنة V-Sync"
"Check to show the current FPS","حدد لعرض معدل الإطارات"
"Choose a limit on the allowed FPS","اختر حد معدل الإطارات"
"Choose screen resolution","اختر دقة الشاشة"
"Choose the anti-aliasing quality level","اختر مستوى مكافحة التعرج"
"Choose the effects quality level","اختر جودة التأثيرات"
"Choose the foliage quality level","اختر جودة النباتات"
"Choose the overall quality level","اختر الجودة العامة"
"Choose the post processing quality level","اختر جودة المعالجة اللاحقة"
"Choose the shading quality level","اختر جودة التظليل"
"Choose the shadows quality level","اختر جودة الظلال"
"Choose the textures quality level","اختر جودة القوام"
"Choose the view distance quality level","اختر جودة مدى الرؤية"
"Cinematics Volume","مستوى صوت المشاهد"
"Credits","الاعتمادات"
"Custom Quality","جودة مخصصة"
"Difficulty","الصعوبة"
"Easy Difficulty","صعوبة سهلة"
"Effects","التأثيرات"
"Enable/disable smooth transitions when switching characters in the Main Menu","تمكين/تعطيل الانتقالات السلسة عند تبديل الشخصيات في القائمة الرئيسية"
"Enter your nickname","أدخل لقبك"
"Show FPS","عرض معدل الإطارات"
"Foliage","النباتات"
"Framerate Lock","تحديد معدل الإطارات"
"Fullscreen","شاشة كاملة"
"GAMEPLAY","أسلوب اللعب"
"GRAPHICS","الرسومات"
"Hard Difficulty","صعوبة عالية"
"High Quality","جودة عالية"
"Instant Character Switch","تبديل فوري للشخصية"
"Language","اللغة"
"Low Quality","جودة منخفضة"
"Master Volume","مستوى الصوت الرئيسي"
"Medium Quality","جودة متوسطة"
"Music Volume","مستوى صوت الموسيقى"
"Normal Difficulty","صعوبة عادية"
"Opens Credits","فتح الاعتمادات"
"Overall Quality","الجودة العامة"
"Player Name","اسم اللاعب"
"Post Processing","المعالجة اللاحقة"
"Put Bomb P1","وضع قنبلة P1"
"Put Bomb P2","وضع قنبلة P2"
"Return back to the main menu","العودة إلى القائمة الرئيسية"
"SETTINGS","الإعدادات"
"Screen Resolution","دقة الشاشة"
"Select your preferred language for in-game text and menus","اختر لغتك المفضلة لنصوص وقوائم اللعبة"
"Set new difficulty level that affects AI behavior","حدد مستوى الصعوبة الجديد الذي يؤثر على سلوك الذكاء الاصطناعي"
"Set the overall volume for all sounds in the game","اضبط مستوى الصوت العام لجميع الأصوات في اللعبة"
"Set the sound volume for music in cinematics","اضبط مستوى صوت الموسيقى في المشاهد السينمائية"
"Set the sound volume for the background music","اضبط مستوى صوت الموسيقى الخلفية"
"Set the sound volume for the effects like bomb explosions","اضبط مستوى صوت التأثيرات مثل انفجارات القنابل"
"Shading","التظليل"
"Shadows","الظلال"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","تخطي المشاهد التي تمت مشاهدتها تلقائيًا. مع لاعبين آخرين، يتم تخطي المشاهد دائمًا."
"Sound Effects Volume","مستوى صوت المؤثرات"
"Textures","القوام"
"Ultra Quality","جودة فائقة"
"Uncapped","بدون حد"
"V-Sync","V-Sync"
"VIDEO","الفيديو"
"Very High Quality","جودة عالية جدًا"
"View Distance","مدى الرؤية"
