"Source","Translation"
"AUDIO","АУДИО"
"Anti Aliasing","Заглаждане"
"Auto Skip Cinematics","Авто-пропуск сцени"
"Back","Назад"
"CONTROLS","УПРАВЛЕНИЕ"
"Camera Lock","Заключване камера"
"Check if you want to lock camera on center","Отметнете за заключване на камерата в центъра"
"Check to enable the fullscreen mode","Отметнете за цял екран"
"Check to enable vertical synchronization","Отметнете за V-Sync"
"Check to show the current FPS","Отметнете за FPS"
"Choose a limit on the allowed FPS","Изберете лимит FPS"
"Choose screen resolution","Изберете резолюция"
"Choose the anti-aliasing quality level","Изберете качество на заглаждане"
"Choose the effects quality level","Изберете качество на ефектите"
"Choose the foliage quality level","Изберете качество на растителност"
"Choose the overall quality level","Изберете общо качество"
"Choose the post processing quality level","Изберете качество на пост обработка"
"Choose the shading quality level","Изберете качество на засенчване"
"Choose the shadows quality level","Изберете качество на сенките"
"Choose the textures quality level","Изберете качество на текстури"
"Choose the view distance quality level","Изберете качество на разстояние"
"Cinematics Volume","Звук на сцените"
"Credits","Кредити"
"Custom Quality","Потреб. качество"
"Difficulty","Трудност"
"Easy Difficulty","Лесна трудност"
"Effects","Ефекти"
"Enable/disable smooth transitions when switching characters in the Main Menu","Вкл./изкл. плавни преходи при смяна на герои в менюто"
"Enter your nickname","Въведете псевдоним"
"Show FPS","Показване FPS"
"Foliage","Растителност"
"Framerate Lock","Ограничение FPS"
"Fullscreen","Цял екран"
"GAMEPLAY","ГЕЙМПЛЕЙ"
"GRAPHICS","ГРАФИКА"
"Hard Difficulty","Трудна трудност"
"High Quality","Високо качество"
"Instant Character Switch","Бърза смяна"
"Language","Език"
"Low Quality","Ниско качество"
"Master Volume","Общ звук"
"Medium Quality","Средно качество"
"Music Volume","Звук музика"
"Normal Difficulty","Нормална трудност"
"Opens Credits","Отваря кредитите"
"Overall Quality","Общо качество"
"Player Name","Име на играч"
"Post Processing","Пост обработка"
"Put Bomb P1","Залагане P1"
"Put Bomb P2","Залагане P2"
"Return back to the main menu","Връщане в менюто"
"SETTINGS","НАСТРОЙКИ"
"Screen Resolution","Разделителна способност"
"Select your preferred language for in-game text and menus","Изберете език за играта и менютата"
"Set new difficulty level that affects AI behavior","Задайте нова трудност, влияеща на ИИ"
"Set the overall volume for all sounds in the game","Настройте общия звук в играта"
"Set the sound volume for music in cinematics","Настройте звука на музиката в сцените"
"Set the sound volume for the background music","Настройте звука на фоновата музика"
"Set the sound volume for the effects like bomb explosions","Настройте звука на ефекти като експлозии"
"Shading","Засенчване"
"Shadows","Сенки"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Авто-пропуск на видени сцени. В мултиплейър те винаги се пропускат."
"Sound Effects Volume","Звук на ефекти"
"Textures","Текстури"
"Ultra Quality","Ултра качество"
"Uncapped","Без лимит"
"V-Sync","V-Sync"
"VIDEO","ВИДЕО"
"Very High Quality","Много високо качество"
"View Distance","Разстояние"
