"Source","Translation"
"AUDIO","AUDIO"
"Anti Aliasing","Vyhlazování"
"Auto Skip Cinematics","Auto. přeskočení scén"
"Back","Zpět"
"CONTROLS","OVLÁDÁNÍ"
"Camera Lock","Zamknutí kamery"
"Check if you want to lock camera on center","Zaškrtněte pro uzamčení kamery ve středu"
"Check to enable the fullscreen mode","Zaškrtněte pro režim celé obrazovky"
"Check to enable vertical synchronization","Zaškrtněte pro zapnutí V-Sync"
"Check to show the current FPS","Zaškrtněte pro zobrazení FPS"
"Choose a limit on the allowed FPS","Zvolte limit FPS"
"Choose screen resolution","Zvolte rozlišení"
"Choose the anti-aliasing quality level","Zvolte kvalitu vyhlazování"
"Choose the effects quality level","Zvolte kvalitu efektů"
"Choose the foliage quality level","Zvolte kvalitu vegetace"
"Choose the overall quality level","Zvolte celkovou kvalitu"
"Choose the post processing quality level","Zvolte kvalitu post-processingu"
"Choose the shading quality level","Zvolte kvalitu stínování"
"Choose the shadows quality level","Zvolte kvalitu stínů"
"Choose the textures quality level","Zvolte kvalitu textur"
"Choose the view distance quality level","Zvolte kvalitu dohlednosti"
"Cinematics Volume","Hlasitost scén"
"Credits","Titulky"
"Custom Quality","Vlastní kvalita"
"Difficulty","Obtížnost"
"Easy Difficulty","Nízká obtížnost"
"Effects","Efekty"
"Enable/disable smooth transitions when switching characters in the Main Menu","Zapnout/vypnout plynulé přechody při změně postav v menu"
"Enter your nickname","Zadejte přezdívku"
"Show FPS","Zobrazit FPS"
"Foliage","Vegetace"
"Framerate Lock","Omezení FPS"
"Fullscreen","Celá obrazovka"
"GAMEPLAY","HRATELNOST"
"GRAPHICS","GRAFIKA"
"Hard Difficulty","Vysoká obtížnost"
"High Quality","Vysoká kvalita"
"Instant Character Switch","Okamžitá změna postavy"
"Language","Jazyk"
"Low Quality","Nízká kvalita"
"Master Volume","Hlavní hlasitost"
"Medium Quality","Střední kvalita"
"Music Volume","Hlasitost hudby"
"Normal Difficulty","Normální obtížnost"
"Opens Credits","Otevře titulky"
"Overall Quality","Celková kvalita"
"Player Name","Jméno hráče"
"Post Processing","Post-processing"
"Put Bomb P1","Položit bombu P1"
"Put Bomb P2","Položit bombu P2"
"Return back to the main menu","Návrat do hlavního menu"
"SETTINGS","NASTAVENÍ"
"Screen Resolution","Rozlišení obrazovky"
"Select your preferred language for in-game text and menus","Vyberte preferovaný jazyk hry a menu"
"Set new difficulty level that affects AI behavior","Nastavte novou obtížnost ovlivňující chování AI"
"Set the overall volume for all sounds in the game","Nastavte celkovou hlasitost zvuků ve hře"
"Set the sound volume for music in cinematics","Nastavte hlasitost hudby ve scénách"
"Set the sound volume for the background music","Nastavte hlasitost hudby na pozadí"
"Set the sound volume for the effects like bomb explosions","Nastavte hlasitost efektů, např. výbuchů"
"Shading","Stínování"
"Shadows","Stíny"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Automaticky přeskočí viděné scény. V multiplayeru jsou scény vždy přeskočeny."
"Sound Effects Volume","Hlasitost efektů"
"Textures","Textury"
"Ultra Quality","Ultra kvalita"
"Uncapped","Bez omezení"
"V-Sync","V-Sync"
"VIDEO","VIDEO"
"Very High Quality","Velmi vysoká kvalita"
"View Distance","Dohlednost"
