"Source","Translation"
"AUDIO","LYD"
"Anti Aliasing","Kantudjævning"
"Auto Skip Cinematics","Auto. spring over scener"
"Back","Tilbage"
"CONTROLS","KONTROLLER"
"Camera Lock","Lås kamera"
"Check if you want to lock camera on center","Markér for at låse kameraet i midten"
"Check to enable the fullscreen mode","Markér for fuldskærmstilstand"
"Check to enable vertical synchronization","Markér for at aktivere V-Sync"
"Check to show the current FPS","Markér for at vise FPS"
"Choose a limit on the allowed FPS","Vælg FPS-grænse"
"Choose screen resolution","Vælg skærmopløsning"
"Choose the anti-aliasing quality level","Vælg kantudjævningskvalitet"
"Choose the effects quality level","Vælg effektkvalitet"
"Choose the foliage quality level","Vælg løvkvalitet"
"Choose the overall quality level","Vælg samlet kvalitet"
"Choose the post processing quality level","Vælg efterbehandlingskvalitet"
"Choose the shading quality level","Vælg skyggekvalitet"
"Choose the shadows quality level","Vælg skyggernes kvalitet"
"Choose the textures quality level","Vælg teksturkvalitet"
"Choose the view distance quality level","Vælg visningsafstand"
"Cinematics Volume","Lydstyrke for scener"
"Credits","Credits"
"Custom Quality","Brugerdefineret kvalitet"
"Difficulty","Sværhedsgrad"
"Easy Difficulty","Let sværhedsgrad"
"Effects","Effekter"
"Enable/disable smooth transitions when switching characters in the Main Menu","Aktiver/deaktiver glidende overgange ved skift af karakter i menuen"
"Enter your nickname","Indtast dit kaldenavn"
"Show FPS","Vis FPS"
"Foliage","Løv"
"Framerate Lock","FPS-lås"
"Fullscreen","Fuldskærm"
"GAMEPLAY","SPIL"
"GRAPHICS","GRAFIK"
"Hard Difficulty","Høj sværhedsgrad"
"High Quality","Høj kvalitet"
"Instant Character Switch","Øjeblikkeligt karakterskift"
"Language","Sprog"
"Low Quality","Lav kvalitet"
"Master Volume","Hovedlydstyrke"
"Medium Quality","Mellem kvalitet"
"Music Volume","Musiklydstyrke"
"Normal Difficulty","Normal sværhedsgrad"
"Opens Credits","Åbner credits"
"Overall Quality","Samlet kvalitet"
"Player Name","Spillernavn"
"Post Processing","Efterbehandling"
"Put Bomb P1","Placer bombe P1"
"Put Bomb P2","Placer bombe P2"
"Return back to the main menu","Vend tilbage til hovedmenuen"
"SETTINGS","INDSTILLINGER"
"Screen Resolution","Skærmopløsning"
"Select your preferred language for in-game text and menus","Vælg dit foretrukne sprog til spiltekst og menuer"
"Set new difficulty level that affects AI behavior","Indstil ny sværhedsgrad, der påvirker AI-adfærd"
"Set the overall volume for all sounds in the game","Juster den samlede lydstyrke i spillet"
"Set the sound volume for music in cinematics","Juster musiklydstyrken i scener"
"Set the sound volume for the background music","Juster baggrundsmusikkens lydstyrke"
"Set the sound volume for the effects like bomb explosions","Juster lydstyrken for effekter som eksplosioner"
"Shading","Skygger"
"Shadows","Skygger"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Springer automatisk sete scener over. I multiplayer springes scener altid over."
"Sound Effects Volume","Lydstyrke for effekter"
"Textures","Teksturer"
"Ultra Quality","Ultra kvalitet"
"Uncapped","Ubegrænset"
"V-Sync","V-Sync"
"VIDEO","VIDEO"
"Very High Quality","Meget høj kvalitet"
"View Distance","Visningsafstand"
