"Source","Translation"
"AUDIO","AUDIO"
"Anti Aliasing","Kantenglättung"
"Auto Skip Cinematics","Auto. Zwischenszenen überspringen"
"Back","Zurück"
"CONTROLS","STEUERUNG"
"Camera Lock","Kamera sperren"
"Check if you want to lock camera on center","Aktivieren, um die Kamera zu zentrieren"
"Check to enable the fullscreen mode","Aktivieren für Vollbild"
"Check to enable vertical synchronization","Aktivieren für V-Sync"
"Check to show the current FPS","Aktivieren, um FPS anzuzeigen"
"Choose a limit on the allowed FPS","FPS-Limit wählen"
"Choose screen resolution","Bildschirmauflösung wählen"
"Choose the anti-aliasing quality level","Kantenglättungsqualität wählen"
"Choose the effects quality level","Effektqualität wählen"
"Choose the foliage quality level","Laubqualität wählen"
"Choose the overall quality level","Gesamtqualität wählen"
"Choose the post processing quality level","Post-Processing-Qualität wählen"
"Choose the shading quality level","Schattierungsqualität wählen"
"Choose the shadows quality level","Schattenqualität wählen"
"Choose the textures quality level","Texturqualität wählen"
"Choose the view distance quality level","Sichtweitenqualität wählen"
"Cinematics Volume","Zwischenszenen-Lautstärke"
"Credits","Credits"
"Custom Quality","Benutzerdefinierte Qualität"
"Difficulty","Schwierigkeit"
"Easy Difficulty","Leichte Schwierigkeit"
"Effects","Effekte"
"Enable/disable smooth transitions when switching characters in the Main Menu","Sanfte Übergänge beim Charakterwechsel im Menü aktivieren/deaktivieren"
"Enter your nickname","Geben Sie Ihren Spitznamen ein"
"Show FPS","FPS anzeigen"
"Foliage","Laub"
"Framerate Lock","FPS-Begrenzung"
"Fullscreen","Vollbild"
"GAMEPLAY","SPIELABLAUF"
"GRAPHICS","GRAFIK"
"Hard Difficulty","Hohe Schwierigkeit"
"High Quality","Hohe Qualität"
"Instant Character Switch","Sofortiger Charakterwechsel"
"Language","Sprache"
"Low Quality","Niedrige Qualität"
"Master Volume","Gesamtlautstärke"
"Medium Quality","Mittlere Qualität"
"Music Volume","Musiklautstärke"
"Normal Difficulty","Normale Schwierigkeit"
"Opens Credits","Öffnet die Credits"
"Overall Quality","Gesamtqualität"
"Player Name","Spielername"
"Post Processing","Post-Processing"
"Put Bomb P1","Bombe legen P1"
"Put Bomb P2","Bombe legen P2"
"Return back to the main menu","Zurück zum Hauptmenü"
"SETTINGS","EINSTELLUNGEN"
"Screen Resolution","Bildschirmauflösung"
"Select your preferred language for in-game text and menus","Bevorzugte Sprache für Spieltexte und Menüs wählen"
"Set new difficulty level that affects AI behavior","Neue Schwierigkeit einstellen, die das KI-Verhalten beeinflusst"
"Set the overall volume for all sounds in the game","Gesamtlautstärke für alle Sounds im Spiel einstellen"
"Set the sound volume for music in cinematics","Musiklautstärke in Zwischenszenen einstellen"
"Set the sound volume for the background music","Lautstärke der Hintergrundmusik einstellen"
"Set the sound volume for the effects like bomb explosions","Lautstärke für Effekte wie Explosionen einstellen"
"Shading","Schattierung"
"Shadows","Schatten"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Bereits gesehene Zwischenszenen automatisch überspringen. Im Multiplayer-Modus werden Szenen immer übersprungen."
"Sound Effects Volume","Effektlautstärke"
"Textures","Texturen"
"Ultra Quality","Ultra-Qualität"
"Uncapped","Unbegrenzt"
"V-Sync","V-Sync"
"VIDEO","VIDEO"
"Very High Quality","Sehr hohe Qualität"
"View Distance","Sichtweite"
