"Source","Translation"
"AUDIO","ΗΧΟΣ"
"Anti Aliasing","Εξομάλυνση άκρων"
"Auto Skip Cinematics","Αυτόματη παράλειψη σκηνών"
"Back","Πίσω"
"CONTROLS","ΧΕΙΡΙΣΜΟΣ"
"Camera Lock","Κλείδωμα κάμερας"
"Check if you want to lock camera on center","Επιλέξτε για κλείδωμα της κάμερας στο κέντρο"
"Check to enable the fullscreen mode","Επιλέξτε για πλήρη οθόνη"
"Check to enable vertical synchronization","Επιλέξτε για ενεργοποίηση V-Sync"
"Check to show the current FPS","Επιλέξτε για εμφάνιση FPS"
"Choose a limit on the allowed FPS","Επιλέξτε όριο FPS"
"Choose screen resolution","Επιλέξτε ανάλυση οθόνης"
"Choose the anti-aliasing quality level","Επιλέξτε ποιότητα εξομάλυνσης"
"Choose the effects quality level","Επιλέξτε ποιότητα εφέ"
"Choose the foliage quality level","Επιλέξτε ποιότητα βλάστησης"
"Choose the overall quality level","Επιλέξτε συνολική ποιότητα"
"Choose the post processing quality level","Επιλέξτε ποιότητα μετα-επεξεργασίας"
"Choose the shading quality level","Επιλέξτε ποιότητα σκίασης"
"Choose the shadows quality level","Επιλέξτε ποιότητα σκιών"
"Choose the textures quality level","Επιλέξτε ποιότητα υφών"
"Choose the view distance quality level","Επιλέξτε ποιότητα απόστασης θέασης"
"Cinematics Volume","Ένταση σκηνών"
"Credits","Συντελεστές"
"Custom Quality","Προσαρμοσμένη ποιότητα"
"Difficulty","Δυσκολία"
"Easy Difficulty","Εύκολο επίπεδο"
"Effects","Εφέ"
"Enable/disable smooth transitions when switching characters in the Main Menu","Ενεργ./απενεργ. ομαλών μεταβάσεων κατά την αλλαγή χαρακτήρων στο μενού"
"Enter your nickname","Εισάγετε το ψευδώνυμό σας"
"Show FPS","Εμφάνιση FPS"
"Foliage","Βλάστηση"
"Framerate Lock","Κλείδωμα FPS"
"Fullscreen","Πλήρης οθόνη"
"GAMEPLAY","ΠΑΙΧΝΙΔΙ"
"GRAPHICS","ΓΡΑΦΙΚΑ"
"Hard Difficulty","Δύσκολο επίπεδο"
"High Quality","Υψηλή ποιότητα"
"Instant Character Switch","Άμεση αλλαγή χαρακτήρα"
"Language","Γλώσσα"
"Low Quality","Χαμηλή ποιότητα"
"Master Volume","Κύρια ένταση"
"Medium Quality","Μεσαία ποιότητα"
"Music Volume","Ένταση μουσικής"
"Normal Difficulty","Κανονικό επίπεδο"
"Opens Credits","Άνοιγμα συντελεστών"
"Overall Quality","Συνολική ποιότητα"
"Player Name","Όνομα παίκτη"
"Post Processing","Μετα-επεξεργασία"
"Put Bomb P1","Τοποθέτηση βόμβας P1"
"Put Bomb P2","Τοποθέτηση βόμβας P2"
"Return back to the main menu","Επιστροφή στο κύριο μενού"
"SETTINGS","ΡΥΘΜΙΣΕΙΣ"
"Screen Resolution","Ανάλυση οθόνης"
"Select your preferred language for in-game text and menus","Επιλέξτε την προτιμώμενη γλώσσα για το παιχνίδι και τα μενού"
"Set new difficulty level that affects AI behavior","Ορίστε νέα δυσκολία που επηρεάζει τη συμπεριφορά της τεχνητής νοημοσύνης"
"Set the overall volume for all sounds in the game","Ρυθμίστε τη συνολική ένταση όλων των ήχων του παιχνιδιού"
"Set the sound volume for music in cinematics","Ρυθμίστε την ένταση της μουσικής στις σκηνές"
"Set the sound volume for the background music","Ρυθμίστε την ένταση της μουσικής παρασκηνίου"
"Set the sound volume for the effects like bomb explosions","Ρυθμίστε την ένταση εφέ όπως εκρήξεις"
"Shading","Σκίαση"
"Shadows","Σκιές"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Αυτόματη παράλειψη σκηνών που έχουν ήδη προβληθεί. Σε πολλούς παίκτες, οι σκηνές παραλείπονται πάντα."
"Sound Effects Volume","Ένταση ηχητικών εφέ"
"Textures","Υφές"
"Ultra Quality","Υπέρ-υψηλή ποιότητα"
"Uncapped","Χωρίς όριο"
"V-Sync","V-Sync"
"VIDEO","ΒΙΝΤΕΟ"
"Very High Quality","Πολύ υψηλή ποιότητα"
"View Distance","Απόσταση θέασης"
