"Source","Translation"
"AUDIO","AUDIO"
"Anti Aliasing","Suavizado de bordes"
"Auto Skip Cinematics","Saltar cinemáticas auto."
"Back","Volver"
"CONTROLS","CONTROLES"
"Camera Lock","Bloqueo de cámara"
"Check if you want to lock camera on center","Marca para fijar la cámara en el centro"
"Check to enable the fullscreen mode","Marca para activar pantalla completa"
"Check to enable vertical synchronization","Marca para activar V-Sync"
"Check to show the current FPS","Marca para mostrar FPS"
"Choose a limit on the allowed FPS","Selecciona un límite de FPS"
"Choose screen resolution","Selecciona la resolución de pantalla"
"Choose the anti-aliasing quality level","Selecciona la calidad del suavizado"
"Choose the effects quality level","Selecciona la calidad de efectos"
"Choose the foliage quality level","Selecciona la calidad del follaje"
"Choose the overall quality level","Selecciona la calidad general"
"Choose the post processing quality level","Selecciona la calidad del post-procesado"
"Choose the shading quality level","Selecciona la calidad de sombreado"
"Choose the shadows quality level","Selecciona la calidad de sombras"
"Choose the textures quality level","Selecciona la calidad de texturas"
"Choose the view distance quality level","Selecciona la calidad de distancia de visión"
"Cinematics Volume","Volumen de cinemáticas"
"Credits","Créditos"
"Custom Quality","Calidad personalizada"
"Difficulty","Dificultad"
"Easy Difficulty","Dificultad fácil"
"Effects","Efectos"
"Enable/disable smooth transitions when switching characters in the Main Menu","Activar/desactivar transiciones suaves al cambiar de personaje en el menú"
"Enter your nickname","Ingresa tu apodo"
"Show FPS","Mostrar FPS"
"Foliage","Follaje"
"Framerate Lock","Límite de FPS"
"Fullscreen","Pantalla completa"
"GAMEPLAY","JUGABILIDAD"
"GRAPHICS","GRÁFICOS"
"Hard Difficulty","Dificultad difícil"
"High Quality","Calidad alta"
"Instant Character Switch","Cambio rápido de personaje"
"Language","Idioma"
"Low Quality","Calidad baja"
"Master Volume","Volumen principal"
"Medium Quality","Calidad media"
"Music Volume","Volumen de música"
"Normal Difficulty","Dificultad normal"
"Opens Credits","Abrir créditos"
"Overall Quality","Calidad general"
"Player Name","Nombre del jugador"
"Post Processing","Post-procesado"
"Put Bomb P1","Colocar bomba P1"
"Put Bomb P2","Colocar bomba P2"
"Return back to the main menu","Regresar al menú principal"
"SETTINGS","CONFIGURACIÓN"
"Screen Resolution","Resolución de pantalla"
"Select your preferred language for in-game text and menus","Selecciona tu idioma preferido para los textos y menús del juego"
"Set new difficulty level that affects AI behavior","Configura la dificultad que afecta a la IA"
"Set the overall volume for all sounds in the game","Ajusta el volumen general de los sonidos del juego"
"Set the sound volume for music in cinematics","Ajusta el volumen de la música en las cinemáticas"
"Set the sound volume for the background music","Ajusta el volumen de la música de fondo"
"Set the sound volume for the effects like bomb explosions","Ajusta el volumen de efectos como explosiones"
"Shading","Sombreado"
"Shadows","Sombras"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Omitir automáticamente cinemáticas vistas. En multijugador, siempre se omiten."
"Sound Effects Volume","Volumen de efectos"
"Textures","Texturas"
"Ultra Quality","Calidad ultra"
"Uncapped","Sin límite"
"V-Sync","V-Sync"
"VIDEO","VIDEO"
"Very High Quality","Calidad muy alta"
"View Distance","Distancia de visión"
