"Source","Translation"
"AUDIO","AUDIO"
"Anti Aliasing","Suavizado de bordes"
"Auto Skip Cinematics","Omitir cinemáticas auto."
"Back","Atrás"
"CONTROLS","CONTROLES"
"Camera Lock","Bloqueo de cámara"
"Check if you want to lock camera on center","Marca para fijar la cámara en el centro"
"Check to enable the fullscreen mode","Marca para activar pantalla completa"
"Check to enable vertical synchronization","Marca para activar V-Sync"
"Check to show the current FPS","Marca para mostrar los FPS"
"Choose a limit on the allowed FPS","Elige un límite de FPS"
"Choose screen resolution","Elige la resolución de pantalla"
"Choose the anti-aliasing quality level","Elige la calidad del suavizado"
"Choose the effects quality level","Elige la calidad de efectos"
"Choose the foliage quality level","Elige la calidad del follaje"
"Choose the overall quality level","Elige la calidad general"
"Choose the post processing quality level","Elige la calidad del post-procesado"
"Choose the shading quality level","Elige la calidad de sombreado"
"Choose the shadows quality level","Elige la calidad de sombras"
"Choose the textures quality level","Elige la calidad de texturas"
"Choose the view distance quality level","Elige la calidad de la distancia de visión"
"Cinematics Volume","Volumen de cinemáticas"
"Credits","Créditos"
"Custom Quality","Calidad personalizada"
"Difficulty","Dificultad"
"Easy Difficulty","Dificultad fácil"
"Effects","Efectos"
"Enable/disable smooth transitions when switching characters in the Main Menu","Activar/desactivar transiciones suaves al cambiar de personaje en el menú"
"Enter your nickname","Introduce tu apodo"
"Show FPS","Mostrar FPS"
"Foliage","Follaje"
"Framerate Lock","Límite de FPS"
"Fullscreen","Pantalla completa"
"GAMEPLAY","JUGABILIDAD"
"GRAPHICS","GRÁFICOS"
"Hard Difficulty","Dificultad alta"
"High Quality","Alta calidad"
"Instant Character Switch","Cambio inmediato de personaje"
"Language","Idioma"
"Low Quality","Baja calidad"
"Master Volume","Volumen general"
"Medium Quality","Calidad media"
"Music Volume","Volumen de música"
"Normal Difficulty","Dificultad normal"
"Opens Credits","Abre los créditos"
"Overall Quality","Calidad general"
"Player Name","Nombre del jugador"
"Post Processing","Post-procesado"
"Put Bomb P1","Colocar bomba P1"
"Put Bomb P2","Colocar bomba P2"
"Return back to the main menu","Volver al menú principal"
"SETTINGS","AJUSTES"
"Screen Resolution","Resolución de pantalla"
"Select your preferred language for in-game text and menus","Elige tu idioma preferido para los textos y menús del juego"
"Set new difficulty level that affects AI behavior","Establece la dificultad que afecta a la IA"
"Set the overall volume for all sounds in the game","Ajusta el volumen general de los sonidos del juego"
"Set the sound volume for music in cinematics","Ajusta el volumen de la música en las cinemáticas"
"Set the sound volume for the background music","Ajusta el volumen de la música de fondo"
"Set the sound volume for the effects like bomb explosions","Ajusta el volumen de los efectos como explosiones"
"Shading","Sombreado"
"Shadows","Sombras"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Omitir automáticamente cinemáticas ya vistas. En multijugador, siempre se omiten."
"Sound Effects Volume","Volumen de efectos"
"Textures","Texturas"
"Ultra Quality","Calidad ultra"
"Uncapped","Sin límite"
"V-Sync","V-Sync"
"VIDEO","VÍDEO"
"Very High Quality","Calidad muy alta"
"View Distance","Distancia de visión"
