"Source","Translation"
"AUDIO","ÄÄNI"
"Anti Aliasing","Reunojenpehmennys"
"Auto Skip Cinematics","Ohita animaatiot auto."
"Back","Takaisin"
"CONTROLS","OHJAUS"
"Camera Lock","Kameran lukitus"
"Check if you want to lock camera on center","Valitse kameran lukitus keskelle"
"Check to enable the fullscreen mode","Valitse koko näyttö"
"Check to enable vertical synchronization","Valitse V-Sync"
"Check to show the current FPS","Valitse FPS-näyttö"
"Choose a limit on the allowed FPS","Valitse FPS-raja"
"Choose screen resolution","Valitse resoluutio"
"Choose the anti-aliasing quality level","Valitse reunojenpehmennyksen laatu"
"Choose the effects quality level","Valitse efektien laatu"
"Choose the foliage quality level","Valitse kasvillisuuden laatu"
"Choose the overall quality level","Valitse yleislaatu"
"Choose the post processing quality level","Valitse jälkikäsittelyn laatu"
"Choose the shading quality level","Valitse varjostuksen laatu"
"Choose the shadows quality level","Valitse varjojen laatu"
"Choose the textures quality level","Valitse tekstuurien laatu"
"Choose the view distance quality level","Valitse piirtoetäisyys"
"Cinematics Volume","Animaatioiden ääni"
"Credits","Tekijät"
"Custom Quality","Mukautettu laatu"
"Difficulty","Vaikeus"
"Easy Difficulty","Helppo taso"
"Effects","Efektit"
"Enable/disable smooth transitions when switching characters in the Main Menu","Ota käyttöön/pois pehmeät siirtymät hahmonvaihdossa valikossa"
"Enter your nickname","Syötä nimimerkki"
"Show FPS","Näytä FPS"
"Foliage","Kasvillisuus"
"Framerate Lock","FPS-lukitus"
"Fullscreen","Koko näyttö"
"GAMEPLAY","PELI"
"GRAPHICS","GRAFIIKKA"
"Hard Difficulty","Vaikea taso"
"High Quality","Korkea laatu"
"Instant Character Switch","Nopea hahmovaihto"
"Language","Kieli"
"Low Quality","Matala laatu"
"Master Volume","Pääääni"
"Medium Quality","Keskilaatu"
"Music Volume","Musiikin ääni"
"Normal Difficulty","Normaali taso"
"Opens Credits","Avaa tekijät"
"Overall Quality","Yleislaatu"
"Player Name","Pelaajan nimi"
"Post Processing","Jälkikäsittely"
"Put Bomb P1","Aseta pommi P1"
"Put Bomb P2","Aseta pommi P2"
"Return back to the main menu","Palaa valikkoon"
"SETTINGS","ASETUKSET"
"Screen Resolution","Näytön tarkkuus"
"Select your preferred language for in-game text and menus","Valitse kieli peliteksteille ja valikoille"
"Set new difficulty level that affects AI behavior","Aseta vaikeus, joka vaikuttaa tekoälyyn"
"Set the overall volume for all sounds in the game","Säädä pelin yleisääntä"
"Set the sound volume for music in cinematics","Säädä animaatioiden musiikkia"
"Set the sound volume for the background music","Säädä taustamusiikkia"
"Set the sound volume for the effects like bomb explosions","Säädä räjähdysäänien tehoa"
"Shading","Varjostus"
"Shadows","Varjot"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Ohittaa katsotut animaatiot. Moninpelissä ne ohitetaan aina."
"Sound Effects Volume","Efektien ääni"
"Textures","Tekstuurit"
"Ultra Quality","Ultra-laatu"
"Uncapped","Ei rajaa"
"V-Sync","V-Sync"
"VIDEO","VIDEO"
"Very High Quality","Erittäin korkea laatu"
"View Distance","Piirtoetäisyys"
