"Source","Translation"
"AUDIO","AUDIO"
"Anti Aliasing","Anticrénelage"
"Auto Skip Cinematics","Saut auto. cinématiques"
"Back","Retour"
"CONTROLS","COMMANDES"
"Camera Lock","Verrouillage caméra"
"Check if you want to lock camera on center","Cochez pour centrer la caméra"
"Check to enable the fullscreen mode","Cochez pour activer le plein écran"
"Check to enable vertical synchronization","Cochez pour activer la V-Sync"
"Check to show the current FPS","Cochez pour afficher les FPS"
"Choose a limit on the allowed FPS","Choisissez une limite de FPS"
"Choose screen resolution","Choisissez la résolution d'écran"
"Choose the anti-aliasing quality level","Choisissez la qualité de l’anticrénelage"
"Choose the effects quality level","Choisissez la qualité des effets"
"Choose the foliage quality level","Choisissez la qualité du feuillage"
"Choose the overall quality level","Choisissez la qualité globale"
"Choose the post processing quality level","Choisissez la qualité du post-traitement"
"Choose the shading quality level","Choisissez la qualité de l’ombrage"
"Choose the shadows quality level","Choisissez la qualité des ombres"
"Choose the textures quality level","Choisissez la qualité des textures"
"Choose the view distance quality level","Choisissez la distance d'affichage"
"Cinematics Volume","Volume des cinématiques"
"Credits","Crédits"
"Custom Quality","Qualité personnalisée"
"Difficulty","Difficulté"
"Easy Difficulty","Difficulté facile"
"Effects","Effets"
"Enable/disable smooth transitions when switching characters in the Main Menu","Activer/désactiver les transitions fluides lors du changement de personnage dans le menu"
"Enter your nickname","Entrez votre pseudo"
"Show FPS","Afficher FPS"
"Foliage","Feuillage"
"Framerate Lock","Verrouillage FPS"
"Fullscreen","Plein écran"
"GAMEPLAY","JOUABILITÉ"
"GRAPHICS","GRAPHISMES"
"Hard Difficulty","Difficulté élevée"
"High Quality","Haute qualité"
"Instant Character Switch","Changement instantané"
"Language","Langue"
"Low Quality","Basse qualité"
"Master Volume","Volume principal"
"Medium Quality","Qualité moyenne"
"Music Volume","Volume musique"
"Normal Difficulty","Difficulté normale"
"Opens Credits","Ouvre les crédits"
"Overall Quality","Qualité globale"
"Player Name","Nom du joueur"
"Post Processing","Post-traitement"
"Put Bomb P1","Poser bombe P1"
"Put Bomb P2","Poser bombe P2"
"Return back to the main menu","Retour au menu principal"
"SETTINGS","PARAMÈTRES"
"Screen Resolution","Résolution d'écran"
"Select your preferred language for in-game text and menus","Sélectionnez votre langue pour les textes et menus"
"Set new difficulty level that affects AI behavior","Définissez une nouvelle difficulté affectant l’IA"
"Set the overall volume for all sounds in the game","Ajustez le volume général du jeu"
"Set the sound volume for music in cinematics","Ajustez le volume de la musique des cinématiques"
"Set the sound volume for the background music","Ajustez le volume de la musique de fond"
"Set the sound volume for the effects like bomb explosions","Ajustez le volume des effets comme les explosions"
"Shading","Ombrage"
"Shadows","Ombres"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Passe automatiquement les cinématiques déjà vues. En multijoueur, elles sont toujours passées."
"Sound Effects Volume","Volume des effets"
"Textures","Textures"
"Ultra Quality","Qualité ultra"
"Uncapped","Sans limite"
"V-Sync","V-Sync"
"VIDEO","VIDÉO"
"Very High Quality","Très haute qualité"
"View Distance","Distance d'affichage"
