"Source","Translation"
"AUDIO","HANG"
"Anti Aliasing","Élsimítás"
"Auto Skip Cinematics","Automatikus átugrás"
"Back","Vissza"
"CONTROLS","VEZÉRLÉS"
"Camera Lock","Kamera zárolása"
"Check if you want to lock camera on center","Jelöld be a kamera középre zárásához"
"Check to enable the fullscreen mode","Jelöld be a teljes képernyő módhoz"
"Check to enable vertical synchronization","Jelöld be a V-Sync engedélyezéséhez"
"Check to show the current FPS","Jelöld be az FPS megjelenítéséhez"
"Choose a limit on the allowed FPS","Válassz FPS-korlátot"
"Choose screen resolution","Válassz képernyőfelbontást"
"Choose the anti-aliasing quality level","Válassz élsimítási minőséget"
"Choose the effects quality level","Válassz effektek minőséget"
"Choose the foliage quality level","Válassz lombozat minőséget"
"Choose the overall quality level","Válassz általános minőséget"
"Choose the post processing quality level","Válassz utófeldolgozási minőséget"
"Choose the shading quality level","Válassz árnyékolási minőséget"
"Choose the shadows quality level","Válassz árnyékok minőséget"
"Choose the textures quality level","Válassz textúrák minőséget"
"Choose the view distance quality level","Válassz látótávolság minőséget"
"Cinematics Volume","Átvezetők hangereje"
"Credits","Névjegyek"
"Custom Quality","Egyéni minőség"
"Difficulty","Nehézség"
"Easy Difficulty","Könnyű szint"
"Effects","Effektek"
"Enable/disable smooth transitions when switching characters in the Main Menu","Simított váltások engedélyezése/kikapcsolása karakterváltáskor a menüben"
"Enter your nickname","Add meg a beceneved"
"Show FPS","FPS megjelenítése"
"Foliage","Lombozat"
"Framerate Lock","FPS-korlát"
"Fullscreen","Teljes képernyő"
"GAMEPLAY","JÁTÉKMENET"
"GRAPHICS","GRAFIKA"
"Hard Difficulty","Nehéz szint"
"High Quality","Magas minőség"
"Instant Character Switch","Azonnali karakterváltás"
"Language","Nyelv"
"Low Quality","Alacsony minőség"
"Master Volume","Fő hangerő"
"Medium Quality","Közepes minőség"
"Music Volume","Zene hangereje"
"Normal Difficulty","Normál szint"
"Opens Credits","Névjegyek megnyitása"
"Overall Quality","Általános minőség"
"Player Name","Játékos neve"
"Post Processing","Utófeldolgozás"
"Put Bomb P1","Bomba lerakása P1"
"Put Bomb P2","Bomba lerakása P2"
"Return back to the main menu","Vissza a főmenübe"
"SETTINGS","BEÁLLÍTÁSOK"
"Screen Resolution","Képernyőfelbontás"
"Select your preferred language for in-game text and menus","Válassz nyelvet a játék és a menük számára"
"Set new difficulty level that affects AI behavior","Állítsd be az AI viselkedését befolyásoló nehézségi szintet"
"Set the overall volume for all sounds in the game","Állítsd be a játék összes hangerejét"
"Set the sound volume for music in cinematics","Állítsd be a zene hangerejét az átvezetőkben"
"Set the sound volume for the background music","Állítsd be a háttérzene hangerejét"
"Set the sound volume for the effects like bomb explosions","Állítsd be az effektek, például robbanások hangerejét"
"Shading","Árnyékolás"
"Shadows","Árnyékok"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Automatikusan kihagyja a már látott átvezetőket. Többjátékos módban mindig kihagyásra kerülnek."
"Sound Effects Volume","Effektek hangereje"
"Textures","Textúrák"
"Ultra Quality","Ultraminőség"
"Uncapped","Korlátlan"
"V-Sync","V-Sync"
"VIDEO","VIDEÓ"
"Very High Quality","Nagyon magas minőség"
"View Distance","Látótávolság"
