"Source","Translation"
"AUDIO","AUDIO"
"Anti Aliasing","Anti-aliasing"
"Auto Skip Cinematics","Lewati sinematik otomatis"
"Back","Kembali"
"CONTROLS","KONTROL"
"Camera Lock","Kunci kamera"
"Check if you want to lock camera on center","Centang untuk mengunci kamera di tengah"
"Check to enable the fullscreen mode","Centang untuk mode layar penuh"
"Check to enable vertical synchronization","Centang untuk mengaktifkan V-Sync"
"Check to show the current FPS","Centang untuk menampilkan FPS"
"Choose a limit on the allowed FPS","Pilih batas FPS"
"Choose screen resolution","Pilih resolusi layar"
"Choose the anti-aliasing quality level","Pilih kualitas anti-aliasing"
"Choose the effects quality level","Pilih kualitas efek"
"Choose the foliage quality level","Pilih kualitas dedaunan"
"Choose the overall quality level","Pilih kualitas keseluruhan"
"Choose the post processing quality level","Pilih kualitas pasca-pemrosesan"
"Choose the shading quality level","Pilih kualitas bayangan"
"Choose the shadows quality level","Pilih kualitas bayangan"
"Choose the textures quality level","Pilih kualitas tekstur"
"Choose the view distance quality level","Pilih kualitas jarak pandang"
"Cinematics Volume","Volume sinematik"
"Credits","Kredit"
"Custom Quality","Kualitas kustom"
"Difficulty","Kesulitan"
"Easy Difficulty","Kesulitan mudah"
"Effects","Efek"
"Enable/disable smooth transitions when switching characters in the Main Menu","Aktifkan/nonaktifkan transisi halus saat mengganti karakter di menu utama"
"Enter your nickname","Masukkan nama panggilan"
"Show FPS","Tampilkan FPS"
"Foliage","Dedaunan"
"Framerate Lock","Kunci FPS"
"Fullscreen","Layar penuh"
"GAMEPLAY","GAMEPLAY"
"GRAPHICS","GRAFIS"
"Hard Difficulty","Kesulitan tinggi"
"High Quality","Kualitas tinggi"
"Instant Character Switch","Pergantian karakter instan"
"Language","Bahasa"
"Low Quality","Kualitas rendah"
"Master Volume","Volume utama"
"Medium Quality","Kualitas sedang"
"Music Volume","Volume musik"
"Normal Difficulty","Kesulitan normal"
"Opens Credits","Buka kredit"
"Overall Quality","Kualitas keseluruhan"
"Player Name","Nama pemain"
"Post Processing","Pasca-pemrosesan"
"Put Bomb P1","Pasang bom P1"
"Put Bomb P2","Pasang bom P2"
"Return back to the main menu","Kembali ke menu utama"
"SETTINGS","PENGATURAN"
"Screen Resolution","Resolusi layar"
"Select your preferred language for in-game text and menus","Pilih bahasa yang diinginkan untuk teks dan menu dalam game"
"Set new difficulty level that affects AI behavior","Atur tingkat kesulitan baru yang memengaruhi perilaku AI"
"Set the overall volume for all sounds in the game","Atur volume keseluruhan untuk semua suara dalam game"
"Set the sound volume for music in cinematics","Atur volume musik dalam sinematik"
"Set the sound volume for the background music","Atur volume musik latar"
"Set the sound volume for the effects like bomb explosions","Atur volume efek seperti ledakan bom"
"Shading","Bayangan"
"Shadows","Bayangan"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Lewati sinematik yang telah dilihat sebelumnya secara otomatis. Dalam mode multipemain, sinematik selalu dilewati."
"Sound Effects Volume","Volume efek suara"
"Textures","Tekstur"
"Ultra Quality","Kualitas ultra"
"Uncapped","Tanpa batas"
"V-Sync","V-Sync"
"VIDEO","VIDEO"
"Very High Quality","Kualitas sangat tinggi"
"View Distance","Jarak pandang"
