"Source","Translation"
"AUDIO","AUDIO"
"Anti Aliasing","Anti-aliasing"
"Auto Skip Cinematics","Salto auto. cinematiche"
"Back","Indietro"
"CONTROLS","CONTROLLI"
"Camera Lock","Blocco telecamera"
"Check if you want to lock camera on center","Seleziona per bloccare la telecamera al centro"
"Check to enable the fullscreen mode","Seleziona per abilitare lo schermo intero"
"Check to enable vertical synchronization","Seleziona per abilitare il V-Sync"
"Check to show the current FPS","Seleziona per mostrare gli FPS"
"Choose a limit on the allowed FPS","Scegli un limite di FPS"
"Choose screen resolution","Scegli la risoluzione dello schermo"
"Choose the anti-aliasing quality level","Scegli la qualità dell’anti-aliasing"
"Choose the effects quality level","Scegli la qualità degli effetti"
"Choose the foliage quality level","Scegli la qualità della vegetazione"
"Choose the overall quality level","Scegli la qualità complessiva"
"Choose the post processing quality level","Scegli la qualità del post-processing"
"Choose the shading quality level","Scegli la qualità dell’ombreggiatura"
"Choose the shadows quality level","Scegli la qualità delle ombre"
"Choose the textures quality level","Scegli la qualità delle texture"
"Choose the view distance quality level","Scegli la qualità della distanza visiva"
"Cinematics Volume","Volume delle cinematiche"
"Credits","Crediti"
"Custom Quality","Qualità personalizzata"
"Difficulty","Difficoltà"
"Easy Difficulty","Difficoltà facile"
"Effects","Effetti"
"Enable/disable smooth transitions when switching characters in the Main Menu","Attiva/disattiva transizioni fluide nel cambio personaggio nel menu"
"Enter your nickname","Inserisci il tuo nickname"
"Show FPS","Mostra FPS"
"Foliage","Vegetazione"
"Framerate Lock","Blocco FPS"
"Fullscreen","Schermo intero"
"GAMEPLAY","GIOCO"
"GRAPHICS","GRAFICA"
"Hard Difficulty","Difficoltà alta"
"High Quality","Alta qualità"
"Instant Character Switch","Cambio personaggio istantaneo"
"Language","Lingua"
"Low Quality","Bassa qualità"
"Master Volume","Volume principale"
"Medium Quality","Qualità media"
"Music Volume","Volume musica"
"Normal Difficulty","Difficoltà normale"
"Opens Credits","Apri i crediti"
"Overall Quality","Qualità complessiva"
"Player Name","Nome giocatore"
"Post Processing","Post-processing"
"Put Bomb P1","Piazza bomba P1"
"Put Bomb P2","Piazza bomba P2"
"Return back to the main menu","Torna al menu principale"
"SETTINGS","IMPOSTAZIONI"
"Screen Resolution","Risoluzione schermo"
"Select your preferred language for in-game text and menus","Seleziona la lingua per testi e menu di gioco"
"Set new difficulty level that affects AI behavior","Imposta un nuovo livello di difficoltà che influisce sull’IA"
"Set the overall volume for all sounds in the game","Regola il volume generale di tutti i suoni del gioco"
"Set the sound volume for music in cinematics","Regola il volume della musica nelle cinematiche"
"Set the sound volume for the background music","Regola il volume della musica di sottofondo"
"Set the sound volume for the effects like bomb explosions","Regola il volume degli effetti come le esplosioni"
"Shading","Ombreggiatura"
"Shadows","Ombre"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Salta automaticamente le cinematiche già viste. In multiplayer, vengono sempre saltate."
"Sound Effects Volume","Volume effetti sonori"
"Textures","Texture"
"Ultra Quality","Qualità ultra"
"Uncapped","Senza limiti"
"V-Sync","V-Sync"
"VIDEO","VIDEO"
"Very High Quality","Qualità molto alta"
"View Distance","Distanza visiva"
