"Source","Translation"
"AUDIO","オーディオ"
"Anti Aliasing","アンチエイリアス"
"Auto Skip Cinematics","シネマティック自動スキップ"
"Back","戻る"
"CONTROLS","操作"
"Camera Lock","カメラ固定"
"Check if you want to lock camera on center","カメラを中央に固定するにはチェック"
"Check to enable the fullscreen mode","フルスクリーンを有効にするにはチェック"
"Check to enable vertical synchronization","V-Syncを有効にするにはチェック"
"Check to show the current FPS","FPSを表示するにはチェック"
"Choose a limit on the allowed FPS","FPS制限を選択"
"Choose screen resolution","画面解像度を選択"
"Choose the anti-aliasing quality level","アンチエイリアス品質を選択"
"Choose the effects quality level","エフェクト品質を選択"
"Choose the foliage quality level","植生品質を選択"
"Choose the overall quality level","全体の品質を選択"
"Choose the post processing quality level","ポストプロセス品質を選択"
"Choose the shading quality level","シェーディング品質を選択"
"Choose the shadows quality level","シャドウ品質を選択"
"Choose the textures quality level","テクスチャ品質を選択"
"Choose the view distance quality level","描画距離の品質を選択"
"Cinematics Volume","シネマティック音量"
"Credits","クレジット"
"Custom Quality","カスタム品質"
"Difficulty","難易度"
"Easy Difficulty","簡単な難易度"
"Effects","エフェクト"
"Enable/disable smooth transitions when switching characters in the Main Menu","メインメニューでのキャラクター切り替え時のスムーズな移行を有効/無効にする"
"Enter your nickname","ニックネームを入力"
"Show FPS","FPSを表示"
"Foliage","植生"
"Framerate Lock","フレームレート制限"
"Fullscreen","フルスクリーン"
"GAMEPLAY","ゲームプレイ"
"GRAPHICS","グラフィック"
"Hard Difficulty","高難易度"
"High Quality","高品質"
"Instant Character Switch","即時キャラ変更"
"Language","言語"
"Low Quality","低品質"
"Master Volume","マスター音量"
"Medium Quality","中品質"
"Music Volume","音楽音量"
"Normal Difficulty","通常の難易度"
"Opens Credits","クレジットを開く"
"Overall Quality","全体品質"
"Player Name","プレイヤー名"
"Post Processing","ポストプロセス"
"Put Bomb P1","爆弾設置 P1"
"Put Bomb P2","爆弾設置 P2"
"Return back to the main menu","メインメニューに戻る"
"SETTINGS","設定"
"Screen Resolution","画面解像度"
"Select your preferred language for in-game text and menus","ゲーム内のテキストとメニューの言語を選択"
"Set new difficulty level that affects AI behavior","AIの動作に影響を与える新しい難易度を設定"
"Set the overall volume for all sounds in the game","ゲーム内のすべての音の総合音量を設定"
"Set the sound volume for music in cinematics","シネマティックの音楽音量を設定"
"Set the sound volume for the background music","BGMの音量を設定"
"Set the sound volume for the effects like bomb explosions","爆発などの効果音の音量を設定"
"Shading","シェーディング"
"Shadows","シャドウ"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","既に見たシネマティックを自動スキップ。他プレイヤーと一緒の場合は常にスキップ。"
"Sound Effects Volume","効果音音量"
"Textures","テクスチャ"
"Ultra Quality","ウルトラ品質"
"Uncapped","無制限"
"V-Sync","V-Sync"
"VIDEO","ビデオ"
"Very High Quality","非常に高品質"
"View Distance","描画距離"
