"Source","Translation"
"AUDIO","오디오"
"Anti Aliasing","안티앨리어싱"
"Auto Skip Cinematics","자동 시네마틱 건너뛰기"
"Back","뒤로"
"CONTROLS","컨트롤"
"Camera Lock","카메라 고정"
"Check if you want to lock camera on center","카메라를 중앙에 고정하려면 선택"
"Check to enable the fullscreen mode","전체 화면을 활성화하려면 선택"
"Check to enable vertical synchronization","V-Sync를 활성화하려면 선택"
"Check to show the current FPS","FPS 표시를 활성화하려면 선택"
"Choose a limit on the allowed FPS","FPS 제한 선택"
"Choose screen resolution","화면 해상도 선택"
"Choose the anti-aliasing quality level","안티앨리어싱 품질 선택"
"Choose the effects quality level","이펙트 품질 선택"
"Choose the foliage quality level","수풀 품질 선택"
"Choose the overall quality level","전체 품질 선택"
"Choose the post processing quality level","후처리 품질 선택"
"Choose the shading quality level","음영 품질 선택"
"Choose the shadows quality level","그림자 품질 선택"
"Choose the textures quality level","텍스처 품질 선택"
"Choose the view distance quality level","시야 거리 품질 선택"
"Cinematics Volume","시네마틱 음량"
"Credits","제작진"
"Custom Quality","사용자 정의 품질"
"Difficulty","난이도"
"Easy Difficulty","쉬운 난이도"
"Effects","이펙트"
"Enable/disable smooth transitions when switching characters in the Main Menu","메인 메뉴에서 캐릭터 변경 시 부드러운 전환 활성화/비활성화"
"Enter your nickname","닉네임 입력"
"Show FPS","FPS 표시"
"Foliage","수풀"
"Framerate Lock","프레임 제한"
"Fullscreen","전체 화면"
"GAMEPLAY","게임 플레이"
"GRAPHICS","그래픽"
"Hard Difficulty","어려운 난이도"
"High Quality","높은 품질"
"Instant Character Switch","즉시 캐릭터 변경"
"Language","언어"
"Low Quality","낮은 품질"
"Master Volume","마스터 음량"
"Medium Quality","중간 품질"
"Music Volume","음악 음량"
"Normal Difficulty","보통 난이도"
"Opens Credits","제작진 열기"
"Overall Quality","전체 품질"
"Player Name","플레이어 이름"
"Post Processing","후처리"
"Put Bomb P1","폭탄 설치 P1"
"Put Bomb P2","폭탄 설치 P2"
"Return back to the main menu","메인 메뉴로 돌아가기"
"SETTINGS","설정"
"Screen Resolution","화면 해상도"
"Select your preferred language for in-game text and menus","게임 내 텍스트 및 메뉴의 언어를 선택하세요"
"Set new difficulty level that affects AI behavior","AI 행동에 영향을 주는 난이도 설정"
"Set the overall volume for all sounds in the game","게임 내 모든 사운드의 전체 음량 조절"
"Set the sound volume for music in cinematics","시네마틱 음악 음량 조절"
"Set the sound volume for the background music","배경 음악 음량 조절"
"Set the sound volume for the effects like bomb explosions","폭발 효과음 등의 음량 조절"
"Shading","음영"
"Shadows","그림자"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","이미 본 시네마틱을 자동으로 건너뜁니다. 멀티플레이에서는 항상 건너뜁니다."
"Sound Effects Volume","효과음 음량"
"Textures","텍스처"
"Ultra Quality","울트라 품질"
"Uncapped","제한 없음"
"V-Sync","V-Sync"
"VIDEO","비디오"
"Very High Quality","매우 높은 품질"
"View Distance","시야 거리"
