"Source","Translation"
"AUDIO","AUDIO"
"Anti Aliasing","Anti-aliasing"
"Auto Skip Cinematics","Auto. overslaan scènes"
"Back","Terug"
"CONTROLS","BESTURING"
"Camera Lock","Camera vergrendelen"
"Check if you want to lock camera on center","Selecteer om de camera in het midden te vergrendelen"
"Check to enable the fullscreen mode","Selecteer voor volledig scherm"
"Check to enable vertical synchronization","Selecteer om V-Sync in te schakelen"
"Check to show the current FPS","Selecteer om FPS weer te geven"
"Choose a limit on the allowed FPS","Kies een FPS-limiet"
"Choose screen resolution","Kies schermresolutie"
"Choose the anti-aliasing quality level","Kies de kwaliteit van anti-aliasing"
"Choose the effects quality level","Kies de kwaliteit van effecten"
"Choose the foliage quality level","Kies de kwaliteit van gebladerte"
"Choose the overall quality level","Kies de algehele kwaliteit"
"Choose the post processing quality level","Kies de kwaliteit van nabewerking"
"Choose the shading quality level","Kies de kwaliteit van schaduwen"
"Choose the shadows quality level","Kies de kwaliteit van schaduwdetails"
"Choose the textures quality level","Kies de kwaliteit van texturen"
"Choose the view distance quality level","Kies de zichtafstand kwaliteit"
"Cinematics Volume","Volume van scènes"
"Credits","Credits"
"Custom Quality","Aangepaste kwaliteit"
"Difficulty","Moeilijkheidsgraad"
"Easy Difficulty","Makkelijke modus"
"Effects","Effecten"
"Enable/disable smooth transitions when switching characters in the Main Menu","Schakel vloeiende overgangen in/uit bij het wisselen van personages in het menu"
"Enter your nickname","Voer je bijnaam in"
"Show FPS","Toon FPS"
"Foliage","Gebladerte"
"Framerate Lock","FPS-limiet"
"Fullscreen","Volledig scherm"
"GAMEPLAY","GAMEPLAY"
"GRAPHICS","GRAFISCH"
"Hard Difficulty","Moeilijke modus"
"High Quality","Hoge kwaliteit"
"Instant Character Switch","Direct wisselen van personage"
"Language","Taal"
"Low Quality","Lage kwaliteit"
"Master Volume","Hoofdvolume"
"Medium Quality","Middelhoge kwaliteit"
"Music Volume","Muziekvolume"
"Normal Difficulty","Normale modus"
"Opens Credits","Opent de credits"
"Overall Quality","Algehele kwaliteit"
"Player Name","Spelernaam"
"Post Processing","Nabewerking"
"Put Bomb P1","Plaats bom P1"
"Put Bomb P2","Plaats bom P2"
"Return back to the main menu","Terug naar hoofdmenu"
"SETTINGS","INSTELLINGEN"
"Screen Resolution","Schermresolutie"
"Select your preferred language for in-game text and menus","Selecteer je voorkeurstaal voor teksten en menu’s"
"Set new difficulty level that affects AI behavior","Stel een nieuwe moeilijkheidsgraad in die het AI-gedrag beïnvloedt"
"Set the overall volume for all sounds in the game","Pas het algehele volume van alle geluiden aan"
"Set the sound volume for music in cinematics","Pas het muziekvolume in scènes aan"
"Set the sound volume for the background music","Pas het achtergrondmuziekvolume aan"
"Set the sound volume for the effects like bomb explosions","Pas het volume van effecten zoals explosies aan"
"Shading","Schaduwwerking"
"Shadows","Schaduwen"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Slaat eerder bekeken scènes automatisch over. In multiplayer worden ze altijd overgeslagen."
"Sound Effects Volume","Effectvolume"
"Textures","Texturen"
"Ultra Quality","Ultrahoge kwaliteit"
"Uncapped","Geen limiet"
"V-Sync","V-Sync"
"VIDEO","VIDEO"
"Very High Quality","Zeer hoge kwaliteit"
"View Distance","Zichtafstand"
