"Source","Translation"
"AUDIO","LYD"
"Anti Aliasing","Kantutjevning"
"Auto Skip Cinematics","Auto hopp over mellomsekvenser"
"Back","Tilbake"
"CONTROLS","KONTROLLER"
"Camera Lock","Lås kamera"
"Check if you want to lock camera on center","Merk for å låse kameraet i midten"
"Check to enable the fullscreen mode","Merk for å aktivere fullskjerm"
"Check to enable vertical synchronization","Merk for å aktivere V-Sync"
"Check to show the current FPS","Merk for å vise FPS"
"Choose a limit on the allowed FPS","Velg en FPS-begrensning"
"Choose screen resolution","Velg skjermoppløsning"
"Choose the anti-aliasing quality level","Velg kvalitet på kantutjevning"
"Choose the effects quality level","Velg kvalitet på effekter"
"Choose the foliage quality level","Velg kvalitet på løvverk"
"Choose the overall quality level","Velg total kvalitet"
"Choose the post processing quality level","Velg kvalitet på etterbehandling"
"Choose the shading quality level","Velg kvalitet på skyggelegging"
"Choose the shadows quality level","Velg kvalitet på skygger"
"Choose the textures quality level","Velg kvalitet på teksturer"
"Choose the view distance quality level","Velg kvalitet på synsavstand"
"Cinematics Volume","Volum for mellomsekvenser"
"Credits","Ettertekster"
"Custom Quality","Tilpasset kvalitet"
"Difficulty","Vanskelighetsgrad"
"Easy Difficulty","Lett vanskelighetsgrad"
"Effects","Effekter"
"Enable/disable smooth transitions when switching characters in the Main Menu","Aktiver/deaktiver jevne overganger ved figurbytte i hovedmenyen"
"Enter your nickname","Skriv inn kallenavn"
"Show FPS","Vis FPS"
"Foliage","Løvverk"
"Framerate Lock","FPS-lås"
"Fullscreen","Fullskjerm"
"GAMEPLAY","SPILL"
"GRAPHICS","GRAFIKK"
"Hard Difficulty","Høy vanskelighetsgrad"
"High Quality","Høy kvalitet"
"Instant Character Switch","Umiddelbart figurbytte"
"Language","Språk"
"Low Quality","Lav kvalitet"
"Master Volume","Hovedvolum"
"Medium Quality","Middels kvalitet"
"Music Volume","Musikkvolum"
"Normal Difficulty","Normal vanskelighetsgrad"
"Opens Credits","Åpner ettertekster"
"Overall Quality","Total kvalitet"
"Player Name","Spillernavn"
"Post Processing","Etterbehandling"
"Put Bomb P1","Plasser bombe P1"
"Put Bomb P2","Plasser bombe P2"
"Return back to the main menu","Gå tilbake til hovedmenyen"
"SETTINGS","INNSTILLINGER"
"Screen Resolution","Skjermoppløsning"
"Select your preferred language for in-game text and menus","Velg foretrukket språk for spilltekst og menyer"
"Set new difficulty level that affects AI behavior","Sett ny vanskelighetsgrad som påvirker AI"
"Set the overall volume for all sounds in the game","Juster totalvolumet for alle lyder i spillet"
"Set the sound volume for music in cinematics","Juster musikkvolumet i mellomsekvenser"
"Set the sound volume for the background music","Juster volumet for bakgrunnsmusikk"
"Set the sound volume for the effects like bomb explosions","Juster volumet for effekter som eksplosjoner"
"Shading","Skyggelegging"
"Shadows","Skygger"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Hopper automatisk over tidligere viste mellomsekvenser. I flerspiller hopper de alltid over."
"Sound Effects Volume","Lydeffekters volum"
"Textures","Teksturer"
"Ultra Quality","Ultra kvalitet"
"Uncapped","Ubegrenset"
"V-Sync","V-Sync"
"VIDEO","VIDEO"
"Very High Quality","Svært høy kvalitet"
"View Distance","Synsavstand"
