"Source","Translation"
"AUDIO","AUDIO"
"Anti Aliasing","Antyaliasing"
"Auto Skip Cinematics","Auto. pomijanie scen"
"Back","Wstecz"
"CONTROLS","STEROWANIE"
"Camera Lock","Blokada kamery"
"Check if you want to lock camera on center","Zaznacz, by zablokować kamerę na środku"
"Check to enable the fullscreen mode","Zaznacz, by włączyć pełny ekran"
"Check to enable vertical synchronization","Zaznacz, by włączyć V-Sync"
"Check to show the current FPS","Zaznacz, by wyświetlić FPS"
"Choose a limit on the allowed FPS","Wybierz limit FPS"
"Choose screen resolution","Wybierz rozdzielczość"
"Choose the anti-aliasing quality level","Wybierz poziom antyaliasingu"
"Choose the effects quality level","Wybierz jakość efektów"
"Choose the foliage quality level","Wybierz jakość roślinności"
"Choose the overall quality level","Wybierz ogólną jakość"
"Choose the post processing quality level","Wybierz jakość post-processingu"
"Choose the shading quality level","Wybierz jakość cieniowania"
"Choose the shadows quality level","Wybierz jakość cieni"
"Choose the textures quality level","Wybierz jakość tekstur"
"Choose the view distance quality level","Wybierz jakość dystansu widzenia"
"Cinematics Volume","Głośność scen"
"Credits","Napisy końcowe"
"Custom Quality","Niestandardowa jakość"
"Difficulty","Poziom trudności"
"Easy Difficulty","Łatwy poziom"
"Effects","Efekty"
"Enable/disable smooth transitions when switching characters in the Main Menu","Włącz/wyłącz płynne przejścia postaci w menu"
"Enter your nickname","Wpisz swój pseudonim"
"Show FPS","Pokaż FPS"
"Foliage","Roślinność"
"Framerate Lock","Blokada FPS"
"Fullscreen","Pełny ekran"
"GAMEPLAY","ROZGRYWKA"
"GRAPHICS","GRAFIKA"
"Hard Difficulty","Trudny poziom"
"High Quality","Wysoka jakość"
"Instant Character Switch","Natychmiastowa zmiana postaci"
"Language","Język"
"Low Quality","Niska jakość"
"Master Volume","Głośność główna"
"Medium Quality","Średnia jakość"
"Music Volume","Głośność muzyki"
"Normal Difficulty","Normalny poziom"
"Opens Credits","Otwiera napisy końcowe"
"Overall Quality","Ogólna jakość"
"Player Name","Nazwa gracza"
"Post Processing","Post-processing"
"Put Bomb P1","Podłóż bombę P1"
"Put Bomb P2","Podłóż bombę P2"
"Return back to the main menu","Powrót do menu"
"SETTINGS","USTAWIENIA"
"Screen Resolution","Rozdzielczość ekranu"
"Select your preferred language for in-game text and menus","Wybierz preferowany język gry i menu"
"Set new difficulty level that affects AI behavior","Ustaw nowy poziom trudności wpływający na SI"
"Set the overall volume for all sounds in the game","Dostosuj głośność wszystkich dźwięków"
"Set the sound volume for music in cinematics","Dostosuj głośność muzyki w scenach"
"Set the sound volume for the background music","Dostosuj głośność muzyki w tle"
"Set the sound volume for the effects like bomb explosions","Dostosuj głośność efektów, np. eksplozji"
"Shading","Cieniowanie"
"Shadows","Cienie"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Automatycznie pomija obejrzane sceny. W trybie multiplayer sceny zawsze są pomijane."
"Sound Effects Volume","Głośność efektów"
"Textures","Tekstury"
"Ultra Quality","Ultra jakość"
"Uncapped","Bez limitu"
"V-Sync","V-Sync"
"VIDEO","WIDEO"
"Very High Quality","Bardzo wysoka jakość"
"View Distance","Dystans widzenia"
