"Source","Translation"
"AUDIO","ÁUDIO"
"Anti Aliasing","Suavização"
"Auto Skip Cinematics","Pular cenas auto."
"Back","Voltar"
"CONTROLS","CONTROLES"
"Camera Lock","Travar câmera"
"Check if you want to lock camera on center","Marque para travar a câmera no centro"
"Check to enable the fullscreen mode","Marque para tela cheia"
"Check to enable vertical synchronization","Marque para V-Sync"
"Check to show the current FPS","Marque para exibir FPS"
"Choose a limit on the allowed FPS","Escolha limite de FPS"
"Choose screen resolution","Escolha a resolução"
"Choose the anti-aliasing quality level","Escolha a qualidade da suavização"
"Choose the effects quality level","Escolha a qualidade dos efeitos"
"Choose the foliage quality level","Escolha a qualidade da vegetação"
"Choose the overall quality level","Escolha a qualidade geral"
"Choose the post processing quality level","Escolha a qualidade do pós-processo"
"Choose the shading quality level","Escolha a qualidade da iluminação"
"Choose the shadows quality level","Escolha a qualidade das sombras"
"Choose the textures quality level","Escolha a qualidade das texturas"
"Choose the view distance quality level","Escolha a qualidade da distância"
"Cinematics Volume","Volume das cenas"
"Credits","Créditos"
"Custom Quality","Qualidade pers."
"Difficulty","Dificuldade"
"Easy Difficulty","Dificuldade fácil"
"Effects","Efeitos"
"Enable/disable smooth transitions when switching characters in the Main Menu","Ativar/desativar transições suaves ao trocar de personagem no menu"
"Enter your nickname","Digite seu apelido"
"Show FPS","Mostrar FPS"
"Foliage","Vegetação"
"Framerate Lock","Limite de FPS"
"Fullscreen","Tela cheia"
"GAMEPLAY","JOGABILIDADE"
"GRAPHICS","GRÁFICOS"
"Hard Difficulty","Dificuldade alta"
"High Quality","Alta qualidade"
"Instant Character Switch","Troca rápida"
"Language","Idioma"
"Low Quality","Baixa qualidade"
"Master Volume","Volume geral"
"Medium Quality","Qualidade média"
"Music Volume","Volume música"
"Normal Difficulty","Dificuldade normal"
"Opens Credits","Abrir créditos"
"Overall Quality","Qualidade geral"
"Player Name","Nome do jogador"
"Post Processing","Pós-processo"
"Put Bomb P1","Colocar bomba P1"
"Put Bomb P2","Colocar bomba P2"
"Return back to the main menu","Voltar ao menu"
"SETTINGS","CONFIGURAÇÕES"
"Screen Resolution","Resolução"
"Select your preferred language for in-game text and menus","Escolha o idioma para os textos e menus do jogo"
"Set new difficulty level that affects AI behavior","Definir novo nível de dificuldade que afeta a IA"
"Set the overall volume for all sounds in the game","Ajustar o volume geral do jogo"
"Set the sound volume for music in cinematics","Ajustar o volume da música nas cenas"
"Set the sound volume for the background music","Ajustar o volume da música de fundo"
"Set the sound volume for the effects like bomb explosions","Ajustar o volume dos efeitos como explosões"
"Shading","Iluminação"
"Shadows","Sombras"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Pula cenas já vistas. No multiplayer, são sempre puladas."
"Sound Effects Volume","Volume dos efeitos"
"Textures","Texturas"
"Ultra Quality","Qualidade ultra"
"Uncapped","Sem limite"
"V-Sync","V-Sync"
"VIDEO","VÍDEO"
"Very High Quality","Qualidade muito alta"
"View Distance","Distância"
