"Source","Translation"
"AUDIO","ÁUDIO"
"Anti Aliasing","Suavização"
"Auto Skip Cinematics","Saltar cenas auto."
"Back","Voltar"
"CONTROLS","CONTROLOS"
"Camera Lock","Bloquear câmara"
"Check if you want to lock camera on center","Marque para bloquear a câmara ao centro"
"Check to enable the fullscreen mode","Marque para ecrã inteiro"
"Check to enable vertical synchronization","Marque para V-Sync"
"Check to show the current FPS","Marque para mostrar FPS"
"Choose a limit on the allowed FPS","Escolha limite de FPS"
"Choose screen resolution","Escolha a resolução"
"Choose the anti-aliasing quality level","Escolha qualidade da suavização"
"Choose the effects quality level","Escolha qualidade dos efeitos"
"Choose the foliage quality level","Escolha qualidade da vegetação"
"Choose the overall quality level","Escolha qualidade geral"
"Choose the post processing quality level","Escolha qualidade do pós-processamento"
"Choose the shading quality level","Escolha qualidade da iluminação"
"Choose the shadows quality level","Escolha qualidade das sombras"
"Choose the textures quality level","Escolha qualidade das texturas"
"Choose the view distance quality level","Escolha qualidade da distância"
"Cinematics Volume","Volume das cenas"
"Credits","Créditos"
"Custom Quality","Qualidade pers."
"Difficulty","Dificuldade"
"Easy Difficulty","Dificuldade baixa"
"Effects","Efeitos"
"Enable/disable smooth transitions when switching characters in the Main Menu","Ativar/desativar transições suaves ao mudar de personagem no menu"
"Enter your nickname","Insira o seu nome"
"Show FPS","Mostrar FPS"
"Foliage","Vegetação"
"Framerate Lock","Limite de FPS"
"Fullscreen","Ecrã inteiro"
"GAMEPLAY","JOGABILIDADE"
"GRAPHICS","GRÁFICOS"
"Hard Difficulty","Dificuldade alta"
"High Quality","Qualidade alta"
"Instant Character Switch","Troca rápida"
"Language","Idioma"
"Low Quality","Qualidade baixa"
"Master Volume","Volume geral"
"Medium Quality","Qualidade média"
"Music Volume","Volume música"
"Normal Difficulty","Dificuldade média"
"Opens Credits","Abrir créditos"
"Overall Quality","Qualidade geral"
"Player Name","Nome do jogador"
"Post Processing","Pós-processamento"
"Put Bomb P1","Colocar bomba P1"
"Put Bomb P2","Colocar bomba P2"
"Return back to the main menu","Voltar ao menu"
"SETTINGS","DEFINIÇÕES"
"Screen Resolution","Resolução"
"Select your preferred language for in-game text and menus","Escolha o idioma para os textos e menus do jogo"
"Set new difficulty level that affects AI behavior","Definir novo nível de dificuldade que afeta a IA"
"Set the overall volume for all sounds in the game","Ajustar volume geral do jogo"
"Set the sound volume for music in cinematics","Ajustar volume da música nas cenas"
"Set the sound volume for the background music","Ajustar volume da música de fundo"
"Set the sound volume for the effects like bomb explosions","Ajustar volume dos efeitos como explosões"
"Shading","Iluminação"
"Shadows","Sombras"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Salta cenas já vistas. No multijogador, são sempre saltadas."
"Sound Effects Volume","Volume dos efeitos"
"Textures","Texturas"
"Ultra Quality","Qualidade ultra"
"Uncapped","Sem limite"
"V-Sync","V-Sync"
"VIDEO","VÍDEO"
"Very High Quality","Qualidade muito alta"
"View Distance","Distância"
