"Source","Translation"
"AUDIO","AUDIO"
"Anti Aliasing","Anti-aliasing"
"Auto Skip Cinematics","Sări automat scene"
"Back","Înapoi"
"CONTROLS","CONTROALE"
"Camera Lock","Blocare cameră"
"Check if you want to lock camera on center","Bifează pentru a bloca camera în centru"
"Check to enable the fullscreen mode","Bifează pentru ecran complet"
"Check to enable vertical synchronization","Bifează pentru activare V-Sync"
"Check to show the current FPS","Bifează pentru a afișa FPS"
"Choose a limit on the allowed FPS","Alege limita FPS"
"Choose screen resolution","Alege rezoluția ecranului"
"Choose the anti-aliasing quality level","Alege calitatea anti-aliasing"
"Choose the effects quality level","Alege calitatea efectelor"
"Choose the foliage quality level","Alege calitatea vegetației"
"Choose the overall quality level","Alege calitatea generală"
"Choose the post processing quality level","Alege calitatea post-procesării"
"Choose the shading quality level","Alege calitatea umbrei"
"Choose the shadows quality level","Alege calitatea umbrelor"
"Choose the textures quality level","Alege calitatea texturilor"
"Choose the view distance quality level","Alege calitatea distanței de vizualizare"
"Cinematics Volume","Volum scene"
"Credits","Credite"
"Custom Quality","Calitate personalizată"
"Difficulty","Dificultate"
"Easy Difficulty","Dificultate ușoară"
"Effects","Efecte"
"Enable/disable smooth transitions when switching characters in the Main Menu","Activează/dezactivează tranzițiile fluide la schimbarea personajelor în meniu"
"Enter your nickname","Introdu numele tău"
"Show FPS","Afișează FPS"
"Foliage","Vegetație"
"Framerate Lock","Limitare FPS"
"Fullscreen","Ecran complet"
"GAMEPLAY","JOC"
"GRAPHICS","GRAFICĂ"
"Hard Difficulty","Dificultate grea"
"High Quality","Calitate înaltă"
"Instant Character Switch","Schimbare instantanee a personajului"
"Language","Limbă"
"Low Quality","Calitate scăzută"
"Master Volume","Volum general"
"Medium Quality","Calitate medie"
"Music Volume","Volum muzică"
"Normal Difficulty","Dificultate normală"
"Opens Credits","Deschide creditele"
"Overall Quality","Calitate generală"
"Player Name","Nume jucător"
"Post Processing","Post-procesare"
"Put Bomb P1","Plasează bombă P1"
"Put Bomb P2","Plasează bombă P2"
"Return back to the main menu","Întoarcere la meniul principal"
"SETTINGS","SETĂRI"
"Screen Resolution","Rezoluția ecranului"
"Select your preferred language for in-game text and menus","Alege limba preferată pentru textul și meniurile jocului"
"Set new difficulty level that affects AI behavior","Setează un nou nivel de dificultate care afectează comportamentul AI"
"Set the overall volume for all sounds in the game","Reglează volumul general al tuturor sunetelor din joc"
"Set the sound volume for music in cinematics","Reglează volumul muzicii în scene"
"Set the sound volume for the background music","Reglează volumul muzicii de fundal"
"Set the sound volume for the effects like bomb explosions","Reglează volumul efectelor, precum exploziile"
"Shading","Umbrare"
"Shadows","Umbre"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Sari automat scenele deja vizionate. În multiplayer, acestea sunt întotdeauna sărite."
"Sound Effects Volume","Volum efecte sonore"
"Textures","Texturi"
"Ultra Quality","Calitate ultra"
"Uncapped","Fără limită"
"V-Sync","V-Sync"
"VIDEO","VIDEO"
"Very High Quality","Calitate foarte înaltă"
"View Distance","Distanță vizuală"
