"Source","Translation"
"AUDIO","АУДИО"
"Anti Aliasing","Сглаживание"
"Auto Skip Cinematics","Пропуск катсцен"
"Back","Назад"
"CONTROLS","УПРАВЛЕНИЕ"
"Camera Lock","Фиксация камеры"
"Check if you want to lock camera on center","Отметьте, чтобы зафиксировать камеру в центре"
"Check to enable the fullscreen mode","Отметьте, чтобы включить полноэкранный режим"
"Check to enable vertical synchronization","Отметьте, чтобы включить вертикальную синхронизацию"
"Check to show the current FPS","Отметьте, чтобы показать текущий FPS"
"Choose a limit on the allowed FPS","Выберите ограничение FPS"
"Choose screen resolution","Выберите разрешение экрана"
"Choose the anti-aliasing quality level","Выберите уровень сглаживания"
"Choose the effects quality level","Выберите уровень качества эффектов"
"Choose the foliage quality level","Выберите уровень качества листвы"
"Choose the overall quality level","Выберите общий уровень качества"
"Choose the post processing quality level","Выберите уровень пост-обработки"
"Choose the shading quality level","Выберите уровень качества затенения"
"Choose the shadows quality level","Выберите уровень качества теней"
"Choose the textures quality level","Выберите уровень качества текстур"
"Choose the view distance quality level","Выберите уровень качества дальности обзора"
"Cinematics Volume","Громкость катсцен"
"Credits","Титры"
"Custom Quality","Пользовательское качество"
"Difficulty","Сложность"
"Easy Difficulty","Лёгкая сложность"
"Effects","Эффекты"
"Enable/disable smooth transitions when switching characters in the Main Menu","Включить/выключить плавные переходы при смене персонажей в главном меню"
"Enter your nickname","Введите ваш никнейм"
"Show FPS","Показать FPS"
"Foliage","Листво"
"Framerate Lock","Ограничение FPS"
"Fullscreen","Полноэкранный режим"
"GAMEPLAY","ГЕЙМПЛЕЙ"
"GRAPHICS","ГРАФИКА"
"Hard Difficulty","Высокая сложность"
"High Quality","Высокое качество"
"Instant Character Switch","Мгновенная смена персонажа"
"Language","Язык"
"Low Quality","Низкое качество"
"Master Volume","Общая громкость"
"Medium Quality","Среднее качество"
"Music Volume","Громкость музыки"
"Normal Difficulty","Обычная сложность"
"Opens Credits","Открывает титры"
"Overall Quality","Общее качество"
"Player Name","Имя игрока"
"Post Processing","Пост-обработка"
"Put Bomb P1","Поставить бомбу P1"
"Put Bomb P2","Поставить бомбу P2"
"Return back to the main menu","Вернуться в главное меню"
"SETTINGS","НАСТРОЙКИ"
"Screen Resolution","Разрешение экрана"
"Select your preferred language for in-game text and menus","Выберите предпочитаемый язык игры и меню"
"Set new difficulty level that affects AI behavior","Установите новый уровень сложности, влияющий на поведение ИИ"
"Set the overall volume for all sounds in the game","Настройте общую громкость всех звуков в игре"
"Set the sound volume for music in cinematics","Настройте громкость музыки в катсценах"
"Set the sound volume for the background music","Настройте громкость фоновой музыки"
"Set the sound volume for the effects like bomb explosions","Настройте громкость эффектов, таких как взрывы бомб"
"Shading","Затенение"
"Shadows","Тени"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Автоматически пропускает уже просмотренные катсцены. С другими игроками катсцены всегда пропускаются."
"Sound Effects Volume","Громкость эффектов"
"Textures","Текстуры"
"Ultra Quality","Ультра качество"
"Uncapped","Без ограничений"
"V-Sync","V-Sync"
"VIDEO","ВИДЕО"
"Very High Quality","Очень высокое качество"
"View Distance","Дальность обзора"
