"Source","Translation"
"AUDIO","LJUD"
"Anti Aliasing","Kantutjämning"
"Auto Skip Cinematics","Auto-hoppa över scener"
"Back","Tillbaka"
"CONTROLS","KONTROLLER"
"Camera Lock","Lås kamera"
"Check if you want to lock camera on center","Markera för att låsa kameran i mitten"
"Check to enable the fullscreen mode","Markera för helskärmsläge"
"Check to enable vertical synchronization","Markera för att aktivera V-Sync"
"Check to show the current FPS","Markera för att visa FPS"
"Choose a limit on the allowed FPS","Välj en FPS-gräns"
"Choose screen resolution","Välj skärmupplösning"
"Choose the anti-aliasing quality level","Välj kvalitet på kantutjämning"
"Choose the effects quality level","Välj kvalitet på effekter"
"Choose the foliage quality level","Välj kvalitet på lövverk"
"Choose the overall quality level","Välj övergripande kvalitet"
"Choose the post processing quality level","Välj kvalitet på efterbehandling"
"Choose the shading quality level","Välj kvalitet på skuggning"
"Choose the shadows quality level","Välj kvalitet på skuggor"
"Choose the textures quality level","Välj kvalitet på texturer"
"Choose the view distance quality level","Välj kvalitet på siktavstånd"
"Cinematics Volume","Volym för scener"
"Credits","Credits"
"Custom Quality","Anpassad kvalitet"
"Difficulty","Svårighetsgrad"
"Easy Difficulty","Lätt svårighetsgrad"
"Effects","Effekter"
"Enable/disable smooth transitions when switching characters in the Main Menu","Aktivera/inaktivera mjuka övergångar vid karaktärsbyte i menyn"
"Enter your nickname","Ange ditt smeknamn"
"Show FPS","Visa FPS"
"Foliage","Lövverk"
"Framerate Lock","FPS-begränsning"
"Fullscreen","Helskärm"
"GAMEPLAY","SPEL"
"GRAPHICS","GRAFIK"
"Hard Difficulty","Hög svårighetsgrad"
"High Quality","Hög kvalitet"
"Instant Character Switch","Omedelbart karaktärsbyte"
"Language","Språk"
"Low Quality","Låg kvalitet"
"Master Volume","Huvudvolym"
"Medium Quality","Medelhög kvalitet"
"Music Volume","Musikvolym"
"Normal Difficulty","Normal svårighetsgrad"
"Opens Credits","Öppnar credits"
"Overall Quality","Övergripande kvalitet"
"Player Name","Spelarnamn"
"Post Processing","Efterbehandling"
"Put Bomb P1","Placera bomb P1"
"Put Bomb P2","Placera bomb P2"
"Return back to the main menu","Återgå till huvudmenyn"
"SETTINGS","INSTÄLLNINGAR"
"Screen Resolution","Skärmupplösning"
"Select your preferred language for in-game text and menus","Välj önskat språk för speltext och menyer"
"Set new difficulty level that affects AI behavior","Ställ in en ny svårighetsgrad som påverkar AI-beteendet"
"Set the overall volume for all sounds in the game","Justera huvudvolymen för alla ljud i spelet"
"Set the sound volume for music in cinematics","Justera volymen för musik i scener"
"Set the sound volume for the background music","Justera volymen för bakgrundsmusik"
"Set the sound volume for the effects like bomb explosions","Justera volymen för effekter som explosioner"
"Shading","Skuggning"
"Shadows","Skuggor"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Hoppar automatiskt över redan visade scener. I multiplayer hoppar scener alltid över."
"Sound Effects Volume","Ljudeffektsvolym"
"Textures","Texturer"
"Ultra Quality","Ultra-kvalitet"
"Uncapped","Obegränsat"
"V-Sync","V-Sync"
"VIDEO","VIDEO"
"Very High Quality","Mycket hög kvalitet"
"View Distance","Siktavstånd"
