"Source","Translation"
"AUDIO","เสียง"
"Anti Aliasing","ลดรอยหยัก"
"Auto Skip Cinematics","ข้ามคัตซีนอัตโนมัติ"
"Back","กลับ"
"CONTROLS","การควบคุม"
"Camera Lock","ล็อคกล้อง"
"Check if you want to lock camera on center","เลือกเพื่อล็อคกล้องไว้ตรงกลาง"
"Check to enable the fullscreen mode","เลือกเพื่อเปิดโหมดเต็มจอ"
"Check to enable vertical synchronization","เลือกเพื่อเปิด V-Sync"
"Check to show the current FPS","เลือกเพื่อแสดงค่า FPS"
"Choose a limit on the allowed FPS","เลือกจำกัดค่า FPS"
"Choose screen resolution","เลือกความละเอียดหน้าจอ"
"Choose the anti-aliasing quality level","เลือกคุณภาพการลดรอยหยัก"
"Choose the effects quality level","เลือกคุณภาพเอฟเฟกต์"
"Choose the foliage quality level","เลือกคุณภาพพืชพรรณ"
"Choose the overall quality level","เลือกคุณภาพโดยรวม"
"Choose the post processing quality level","เลือกคุณภาพการประมวลผลหลัง"
"Choose the shading quality level","เลือกคุณภาพแสงเงา"
"Choose the shadows quality level","เลือกคุณภาพเงา"
"Choose the textures quality level","เลือกคุณภาพพื้นผิว"
"Choose the view distance quality level","เลือกคุณภาพระยะการมองเห็น"
"Cinematics Volume","ระดับเสียงคัตซีน"
"Credits","เครดิต"
"Custom Quality","คุณภาพกำหนดเอง"
"Difficulty","ระดับความยาก"
"Easy Difficulty","ระดับง่าย"
"Effects","เอฟเฟกต์"
"Enable/disable smooth transitions when switching characters in the Main Menu","เปิด/ปิด การเปลี่ยนตัวละครอย่างราบรื่นในเมนูหลัก"
"Enter your nickname","ใส่ชื่อเล่นของคุณ"
"Show FPS","แสดงค่า FPS"
"Foliage","พืชพรรณ"
"Framerate Lock","ล็อคค่า FPS"
"Fullscreen","เต็มจอ"
"GAMEPLAY","การเล่นเกม"
"GRAPHICS","กราฟิก"
"Hard Difficulty","ระดับยาก"
"High Quality","คุณภาพสูง"
"Instant Character Switch","เปลี่ยนตัวละครทันที"
"Language","ภาษา"
"Low Quality","คุณภาพต่ำ"
"Master Volume","ระดับเสียงหลัก"
"Medium Quality","คุณภาพปานกลาง"
"Music Volume","ระดับเสียงเพลง"
"Normal Difficulty","ระดับปกติ"
"Opens Credits","เปิดเครดิต"
"Overall Quality","คุณภาพโดยรวม"
"Player Name","ชื่อผู้เล่น"
"Post Processing","ประมวลผลหลัง"
"Put Bomb P1","วางระเบิด P1"
"Put Bomb P2","วางระเบิด P2"
"Return back to the main menu","กลับไปที่เมนูหลัก"
"SETTINGS","ตั้งค่า"
"Screen Resolution","ความละเอียดหน้าจอ"
"Select your preferred language for in-game text and menus","เลือกภาษาสำหรับข้อความและเมนูในเกม"
"Set new difficulty level that affects AI behavior","กำหนดระดับความยากใหม่ที่ส่งผลต่อ AI"
"Set the overall volume for all sounds in the game","ปรับระดับเสียงรวมของทุกเสียงในเกม"
"Set the sound volume for music in cinematics","ปรับระดับเสียงเพลงในคัตซีน"
"Set the sound volume for the background music","ปรับระดับเสียงเพลงพื้นหลัง"
"Set the sound volume for the effects like bomb explosions","ปรับระดับเสียงเอฟเฟกต์ เช่น การระเบิด"
"Shading","แสงเงา"
"Shadows","เงา"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","ข้ามคัตซีนที่เคยดูโดยอัตโนมัติ ในโหมดผู้เล่นหลายคน คัตซีนจะถูกข้ามเสมอ"
"Sound Effects Volume","ระดับเสียงเอฟเฟกต์"
"Textures","พื้นผิว"
"Ultra Quality","คุณภาพสูงสุด"
"Uncapped","ไม่จำกัด"
"V-Sync","V-Sync"
"VIDEO","วิดีโอ"
"Very High Quality","คุณภาพสูงมาก"
"View Distance","ระยะการมองเห็น"
