"Source","Translation"
"AUDIO","SES"
"Anti Aliasing","Kenar Yumuşatma"
"Auto Skip Cinematics","Sinematikleri Otomatik Geç"
"Back","Geri"
"CONTROLS","KONTROLLER"
"Camera Lock","Kamera Kilidi"
"Check if you want to lock camera on center","Kamerayı merkeze kilitlemek için işaretleyin"
"Check to enable the fullscreen mode","Tam ekran modunu etkinleştirmek için işaretleyin"
"Check to enable vertical synchronization","V-Sync'i etkinleştirmek için işaretleyin"
"Check to show the current FPS","FPS'yi göstermek için işaretleyin"
"Choose a limit on the allowed FPS","FPS sınırını seçin"
"Choose screen resolution","Ekran çözünürlüğünü seçin"
"Choose the anti-aliasing quality level","Kenar yumuşatma kalitesini seçin"
"Choose the effects quality level","Efekt kalitesini seçin"
"Choose the foliage quality level","Bitki örtüsü kalitesini seçin"
"Choose the overall quality level","Genel kaliteyi seçin"
"Choose the post processing quality level","Son işlem kalitesini seçin"
"Choose the shading quality level","Gölgelendirme kalitesini seçin"
"Choose the shadows quality level","Gölge kalitesini seçin"
"Choose the textures quality level","Doku kalitesini seçin"
"Choose the view distance quality level","Görüş mesafesi kalitesini seçin"
"Cinematics Volume","Sinematik Ses Düzeyi"
"Credits","Krediler"
"Custom Quality","Özel Kalite"
"Difficulty","Zorluk"
"Easy Difficulty","Kolay Zorluk"
"Effects","Efektler"
"Enable/disable smooth transitions when switching characters in the Main Menu","Ana menüde karakter değiştirirken yumuşak geçişleri aç/kapat"
"Enter your nickname","Takma adınızı girin"
"Show FPS","FPS Göster"
"Foliage","Bitki Örtüsü"
"Framerate Lock","FPS Kilidi"
"Fullscreen","Tam Ekran"
"GAMEPLAY","OYUN DENEYİMİ"
"GRAPHICS","GRAFİKLER"
"Hard Difficulty","Zor Zorluk"
"High Quality","Yüksek Kalite"
"Instant Character Switch","Anında Karakter Değişimi"
"Language","Dil"
"Low Quality","Düşük Kalite"
"Master Volume","Ana Ses Düzeyi"
"Medium Quality","Orta Kalite"
"Music Volume","Müzik Ses Düzeyi"
"Normal Difficulty","Normal Zorluk"
"Opens Credits","Kredileri Aç"
"Overall Quality","Genel Kalite"
"Player Name","Oyuncu Adı"
"Post Processing","Son İşlem"
"Put Bomb P1","Bomba Yerleştir P1"
"Put Bomb P2","Bomba Yerleştir P2"
"Return back to the main menu","Ana menüye dön"
"SETTINGS","AYARLAR"
"Screen Resolution","Ekran Çözünürlüğü"
"Select your preferred language for in-game text and menus","Oyun içi metinler ve menüler için tercih ettiğiniz dili seçin"
"Set new difficulty level that affects AI behavior","Yapay zekanın davranışlarını etkileyen yeni bir zorluk seviyesi ayarlayın"
"Set the overall volume for all sounds in the game","Oyundaki tüm seslerin genel seviyesini ayarlayın"
"Set the sound volume for music in cinematics","Sinematiklerdeki müzik ses seviyesini ayarlayın"
"Set the sound volume for the background music","Arka plan müziğinin ses seviyesini ayarlayın"
"Set the sound volume for the effects like bomb explosions","Bomba patlamaları gibi efektlerin ses seviyesini ayarlayın"
"Shading","Gölgelendirme"
"Shadows","Gölgeler"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Daha önce izlenen sinematikleri otomatik olarak atlar. Çok oyunculu modda sinematikler her zaman atlanır."
"Sound Effects Volume","Ses Efektleri Düzeyi"
"Textures","Dokular"
"Ultra Quality","Ultra Kalite"
"Uncapped","Sınırsız"
"V-Sync","V-Sync"
"VIDEO","VİDEO"
"Very High Quality","Çok Yüksek Kalite"
"View Distance","Görüş Mesafesi"
