"Source","Translation"
"AUDIO","АУДІО"
"Anti Aliasing","Згладжування"
"Auto Skip Cinematics","Автопропуск кат-сцен"
"Back","Назад"
"CONTROLS","КЕРУВАННЯ"
"Camera Lock","Фіксація камери"
"Check if you want to lock camera on center","Позначте для фіксації камери в центрі"
"Check to enable the fullscreen mode","Позначте для повноекранного режиму"
"Check to enable vertical synchronization","Позначте для увімкнення V-Sync"
"Check to show the current FPS","Позначте для показу FPS"
"Choose a limit on the allowed FPS","Виберіть ліміт FPS"
"Choose screen resolution","Виберіть роздільну здатність"
"Choose the anti-aliasing quality level","Виберіть якість згладжування"
"Choose the effects quality level","Виберіть якість ефектів"
"Choose the foliage quality level","Виберіть якість рослинності"
"Choose the overall quality level","Виберіть загальну якість"
"Choose the post processing quality level","Виберіть якість пост-обробки"
"Choose the shading quality level","Виберіть якість затінення"
"Choose the shadows quality level","Виберіть якість тіней"
"Choose the textures quality level","Виберіть якість текстур"
"Choose the view distance quality level","Виберіть якість дальності огляду"
"Cinematics Volume","Гучність кат-сцен"
"Credits","Титри"
"Custom Quality","Своя якість"
"Difficulty","Складність"
"Easy Difficulty","Легка складність"
"Effects","Ефекти"
"Enable/disable smooth transitions when switching characters in the Main Menu","Увім./вимк. плавні переходи при зміні персонажів у меню"
"Enter your nickname","Введіть нікнейм"
"Show FPS","Показати FPS"
"Foliage","Рослинність"
"Framerate Lock","Обмеження FPS"
"Fullscreen","Повний екран"
"GAMEPLAY","ГЕЙМПЛЕЙ"
"GRAPHICS","ГРАФІКА"
"Hard Difficulty","Висока складність"
"High Quality","Висока якість"
"Instant Character Switch","Миттєва зміна персонажа"
"Language","Мова"
"Low Quality","Низька якість"
"Master Volume","Загальна гучність"
"Medium Quality","Середня якість"
"Music Volume","Гучність музики"
"Normal Difficulty","Звичайна складність"
"Opens Credits","Відкрити титри"
"Overall Quality","Загальна якість"
"Player Name","Ім'я гравця"
"Post Processing","Пост-обробка"
"Put Bomb P1","Закласти бомбу P1"
"Put Bomb P2","Закласти бомбу P2"
"Return back to the main menu","Повернутися у меню"
"SETTINGS","НАЛАШТУВАННЯ"
"Screen Resolution","Роздільна здатність"
"Select your preferred language for in-game text and menus","Виберіть мову тексту та меню"
"Set new difficulty level that affects AI behavior","Встановіть рівень складності, що впливає на ШІ"
"Set the overall volume for all sounds in the game","Налаштуйте загальну гучність звуків у грі"
"Set the sound volume for music in cinematics","Налаштуйте гучність музики у кат-сценах"
"Set the sound volume for the background music","Налаштуйте гучність фонової музики"
"Set the sound volume for the effects like bomb explosions","Налаштуйте гучність ефектів, як-от вибухи"
"Shading","Затінення"
"Shadows","Тіні"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Автоматично пропускає переглянуті кат-сцени. У мережі кат-сцени завжди пропускаються."
"Sound Effects Volume","Гучність ефектів"
"Textures","Текстури"
"Ultra Quality","Ультра якість"
"Uncapped","Без обмежень"
"V-Sync","V-Sync"
"VIDEO","ВІДЕО"
"Very High Quality","Дуже висока якість"
"View Distance","Дальність огляду"
