"Source","Translation"
"AUDIO","ÂM THANH"
"Anti Aliasing","Khử răng cưa"
"Auto Skip Cinematics","Tự động bỏ qua cảnh"
"Back","Quay lại"
"CONTROLS","ĐIỀU KHIỂN"
"Camera Lock","Khóa camera"
"Check if you want to lock camera on center","Chọn để khóa camera vào trung tâm"
"Check to enable the fullscreen mode","Chọn để bật chế độ toàn màn hình"
"Check to enable vertical synchronization","Chọn để bật V-Sync"
"Check to show the current FPS","Chọn để hiển thị FPS"
"Choose a limit on the allowed FPS","Chọn giới hạn FPS"
"Choose screen resolution","Chọn độ phân giải màn hình"
"Choose the anti-aliasing quality level","Chọn mức chất lượng khử răng cưa"
"Choose the effects quality level","Chọn mức chất lượng hiệu ứng"
"Choose the foliage quality level","Chọn mức chất lượng tán lá"
"Choose the overall quality level","Chọn mức chất lượng tổng thể"
"Choose the post processing quality level","Chọn mức chất lượng hậu xử lý"
"Choose the shading quality level","Chọn mức chất lượng đổ bóng"
"Choose the shadows quality level","Chọn mức chất lượng bóng"
"Choose the textures quality level","Chọn mức chất lượng kết cấu"
"Choose the view distance quality level","Chọn mức chất lượng tầm nhìn"
"Cinematics Volume","Âm lượng cảnh phim"
"Credits","Tín dụng"
"Custom Quality","Chất lượng tùy chỉnh"
"Difficulty","Độ khó"
"Easy Difficulty","Dễ"
"Effects","Hiệu ứng"
"Enable/disable smooth transitions when switching characters in the Main Menu","Bật/tắt chuyển đổi mượt mà khi thay đổi nhân vật trong menu chính"
"Enter your nickname","Nhập biệt danh của bạn"
"Show FPS","Hiển thị FPS"
"Foliage","Tán lá"
"Framerate Lock","Giới hạn FPS"
"Fullscreen","Toàn màn hình"
"GAMEPLAY","LỐI CHƠI"
"GRAPHICS","ĐỒ HỌA"
"Hard Difficulty","Khó"
"High Quality","Chất lượng cao"
"Instant Character Switch","Đổi nhân vật tức thì"
"Language","Ngôn ngữ"
"Low Quality","Chất lượng thấp"
"Master Volume","Âm lượng tổng"
"Medium Quality","Chất lượng trung bình"
"Music Volume","Âm lượng nhạc"
"Normal Difficulty","Bình thường"
"Opens Credits","Mở danh sách tín dụng"
"Overall Quality","Chất lượng tổng thể"
"Player Name","Tên người chơi"
"Post Processing","Hậu xử lý"
"Put Bomb P1","Đặt bom P1"
"Put Bomb P2","Đặt bom P2"
"Return back to the main menu","Quay lại menu chính"
"SETTINGS","CÀI ĐẶT"
"Screen Resolution","Độ phân giải màn hình"
"Select your preferred language for in-game text and menus","Chọn ngôn ngữ hiển thị trong trò chơi và menu"
"Set new difficulty level that affects AI behavior","Thiết lập độ khó mới ảnh hưởng đến hành vi AI"
"Set the overall volume for all sounds in the game","Điều chỉnh âm lượng tổng của tất cả âm thanh trong trò chơi"
"Set the sound volume for music in cinematics","Điều chỉnh âm lượng nhạc trong cảnh phim"
"Set the sound volume for the background music","Điều chỉnh âm lượng nhạc nền"
"Set the sound volume for the effects like bomb explosions","Điều chỉnh âm lượng hiệu ứng như tiếng nổ bom"
"Shading","Đổ bóng"
"Shadows","Bóng"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","Tự động bỏ qua cảnh phim đã xem. Khi chơi cùng người khác, cảnh phim luôn bị bỏ qua."
"Sound Effects Volume","Âm lượng hiệu ứng"
"Textures","Kết cấu"
"Ultra Quality","Chất lượng cực cao"
"Uncapped","Không giới hạn"
"V-Sync","V-Sync"
"VIDEO","VIDEO"
"Very High Quality","Chất lượng rất cao"
"View Distance","Tầm nhìn"
