"Source","Translation"
"AUDIO","音訊"
"Anti Aliasing","抗鋸齒"
"Auto Skip Cinematics","自動跳過過場動畫"
"Back","返回"
"CONTROLS","控制"
"Camera Lock","鎖定攝影機"
"Check if you want to lock camera on center","選擇以將攝影機鎖定在中心"
"Check to enable the fullscreen mode","選擇以啟用全螢幕模式"
"Check to enable vertical synchronization","選擇以啟用垂直同步"
"Check to show the current FPS","選擇以顯示FPS"
"Choose a limit on the allowed FPS","選擇FPS上限"
"Choose screen resolution","選擇螢幕解析度"
"Choose the anti-aliasing quality level","選擇抗鋸齒品質"
"Choose the effects quality level","選擇特效品質"
"Choose the foliage quality level","選擇植被品質"
"Choose the overall quality level","選擇整體品質"
"Choose the post processing quality level","選擇後期處理品質"
"Choose the shading quality level","選擇陰影品質"
"Choose the shadows quality level","選擇光影品質"
"Choose the textures quality level","選擇材質品質"
"Choose the view distance quality level","選擇視距品質"
"Cinematics Volume","過場動畫音量"
"Credits","製作人員"
"Custom Quality","自訂品質"
"Difficulty","難度"
"Easy Difficulty","簡單難度"
"Effects","特效"
"Enable/disable smooth transitions when switching characters in the Main Menu","啟用/停用主選單中角色切換的平滑過渡"
"Enter your nickname","輸入暱稱"
"Show FPS","顯示FPS"
"Foliage","植被"
"Framerate Lock","幀率鎖定"
"Fullscreen","全螢幕"
"GAMEPLAY","遊戲玩法"
"GRAPHICS","圖形"
"Hard Difficulty","困難難度"
"High Quality","高品質"
"Instant Character Switch","即時角色切換"
"Language","語言"
"Low Quality","低品質"
"Master Volume","主音量"
"Medium Quality","中等品質"
"Music Volume","音樂音量"
"Normal Difficulty","普通難度"
"Opens Credits","開啟製作人員名單"
"Overall Quality","整體品質"
"Player Name","玩家名稱"
"Post Processing","後期處理"
"Put Bomb P1","放置炸彈 P1"
"Put Bomb P2","放置炸彈 P2"
"Return back to the main menu","返回主選單"
"SETTINGS","設定"
"Screen Resolution","螢幕解析度"
"Select your preferred language for in-game text and menus","選擇遊戲內文本與選單的語言"
"Set new difficulty level that affects AI behavior","設定影響AI行為的新難度等級"
"Set the overall volume for all sounds in the game","調整遊戲內所有音效的總音量"
"Set the sound volume for music in cinematics","調整過場動畫的音樂音量"
"Set the sound volume for the background music","調整背景音樂音量"
"Set the sound volume for the effects like bomb explosions","調整爆炸等特效音量"
"Shading","陰影"
"Shadows","光影"
"Skips previously seen cinematics automatically. With other players, cinematics are always skipped.","自動跳過已觀看的過場動畫。多人模式下，過場動畫將始終跳過。"
"Sound Effects Volume","音效音量"
"Textures","材質"
"Ultra Quality","超高品質"
"Uncapped","無限制"
"V-Sync","V-Sync"
"VIDEO","視訊"
"Very High Quality","極高品質"
"View Distance","視距"
